
Basic assay information 
Assay ID: ,,,,314
Assay Started: ,,,,11/26/2019 5:35:23 PM
Assay Finished: ,,,,11/26/2019 5:37:18 PM
Assay Exported: ,,,,11/26/2019 5:52:43 PM
Protocol ID: ,,,,100129
Protocol Name: ,,,,384-well plate with the optimized 384 Corning (white plate)
Serial#: ,,,,="1050194"



Protocol information
Instrument nickname,,,,EnVision
Instrument serial number,,,,1050194
Assay started,,,,11/26/2019 5:35:23 PM
User,,,,N/A
Assay ID,,,,314
Protocol name,,,,384-well plate with the optimized 384 Corning (white plate)
Plate name,,,,384 Corning (white plate and bottom  cylindrical)

Labels:
Label name,,,,US LUM 384 (cps)
 Aperture:
 Aperture name,,,,384 Plate US Luminescence aperture




Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,"=""""",11.08,23.68,23.68,35.2,35.2,23.08,23.18,11/26/2019 5:37:01 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 384 (cps),0,48,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,
1,1,"="""="""""""",N/A,A14,-,N/A,0,0,0,0,0,N/A,N/A,N/A,10480,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A15,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:02.821,4176,0.1,41760,,
1,1,"="""="""""""",N/A,A15,-,N/A,0,0,0,0,0,N/A,N/A,N/A,41760,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A16,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:03.015,708,0.1,7080,,
1,1,"="""="""""""",N/A,A16,-,N/A,0,0,0,0,0,N/A,N/A,N/A,7080.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A17,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:03.208,2308,0.1,23080,,
1,1,"="""="""""""",N/A,A17,-,N/A,0,0,0,0,0,N/A,N/A,N/A,23080,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A18,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:03.402,484,0.1,4840,,
1,1,"="""="""""""",N/A,A18,-,N/A,0,0,0,0,0,N/A,N/A,N/A,4840.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A19,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:03.595,2128,0.1,21280,,
1,1,"="""="""""""",N/A,A19,-,N/A,0,0,0,0,0,N/A,N/A,N/A,21280,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A20,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:03.789,544,0.1,5440,,
1,1,"="""="""""""",N/A,A20,-,N/A,0,0,0,0,0,N/A,N/A,N/A,5440.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A21,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:03.983,4976,0.1,49760,,
1,1,"="""="""""""",N/A,A21,-,N/A,0,0,0,0,0,N/A,N/A,N/A,49760,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A22,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:04.177,408,0.1,4080,,
1,1,"="""="""""""",N/A,A22,-,N/A,0,0,0,0,0,N/A,N/A,N/A,4080.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A23,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:04.370,2660,0.1,26600,,
1,1,"="""="""""""",N/A,A23,-,N/A,0,0,0,0,0,N/A,N/A,N/A,26600,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
