,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate
597,597,01:00:00,F,5,1977.879,standard_in_water,2.5,standard,c
598,598,01:00:00,G,5,2513.554,target_added,,11E,a
599,599,01:00:00,H,5,5.8870000000000005,no_gRNA,,11E,a
600,600,01:00:00,A,7,991.883,standard_in_buffer,1.25,standard,a
601,601,01:00:00,B,7,1186.139,standard_in_buffer,1.25,standard,b
602,602,01:00:00,C,7,2407.596,standard_in_buffer,1.25,standard,c
603,603,01:00:00,D,7,5.8870000000000005,standard_in_water,1.25,standard,a
604,604,01:00:00,E,7,777.0239999999999,standard_in_water,1.25,standard,b
605,605,01:00:00,F,7,912.414,standard_in_water,1.25,standard,c
606,606,01:00:00,G,7,3493.664,target_added,,11C,b
607,607,01:00:00,H,7,5.8870000000000005,no_gRNA,,11C,b
608,608,01:00:00,A,9,467.98,standard_in_buffer,0.625,standard,a
609,609,01:00:00,B,9,556.278,standard_in_buffer,0.625,standard,b
610,610,01:00:00,C,9,1200.855,standard_in_buffer,0.625,standard,c
611,611,01:00:00,D,9,2.943,standard_in_water,0.625,standard,a
612,612,01:00:00,E,9,338.476,standard_in_water,0.625,standard,b
613,613,01:00:00,F,9,311.987,standard_in_water,0.625,standard,c
614,614,01:00:00,G,9,4935.867,target_added,,11D,b
615,615,01:00:00,H,9,2.943,no_gRNA,,11D,b
616,616,01:00:00,A,11,232.518,standard_in_buffer,0.3125,standard,a
617,617,01:00:00,B,11,323.76,standard_in_buffer,0.3125,standard,b
618,618,01:00:00,C,11,603.371,standard_in_buffer,0.3125,standard,c
619,619,01:00:00,D,11,2.943,standard_in_water,0.3125,standard,a
620,620,01:00:00,E,11,111.844,standard_in_water,0.3125,standard,b
621,621,01:00:00,F,11,135.391,standard_in_water,0.3125,standard,c
622,622,01:00:00,G,11,2619.512,target_added,,11E,b
623,623,01:00:00,H,11,2.943,no_gRNA,,11E,b
624,624,01:00:00,A,13,176.59599999999998,standard_in_buffer,0.15625,standard,a
625,625,01:00:00,B,13,155.993,standard_in_buffer,0.15625,standard,b
626,626,01:00:00,C,13,306.1,standard_in_buffer,0.15625,standard,c
627,627,01:00:00,D,13,2.943,standard_in_water,0.15625,standard,a
628,628,01:00:00,E,13,38.26300000000001,standard_in_water,0.15625,standard,b
629,629,01:00:00,F,13,47.092,standard_in_water,0.15625,standard,c
630,630,01:00:00,G,13,3605.508,no_target,,11C,a
631,631,01:00:00,H,13,2.943,no_sample,,no_sample,
632,632,01:00:00,A,15,135.391,standard_in_buffer,0.078125,standard,a
633,633,01:00:00,B,15,100.071,standard_in_buffer,0.078125,standard,b
634,634,01:00:00,C,15,179.54,standard_in_buffer,0.078125,standard,c
635,635,01:00:00,D,15,2.943,standard_in_water,0.078125,standard,a
636,636,01:00:00,E,15,20.603,standard_in_water,0.078125,standard,b
637,637,01:00:00,F,15,11.773,standard_in_water,0.078125,standard,c
638,638,01:00:00,G,15,4129.41,no_target,,11D,a
639,639,01:00:00,H,15,5.8870000000000005,no_sample,,no_sample,
640,640,01:00:00,A,17,105.958,standard_in_buffer,0.0390625,standard,a
641,641,01:00:00,B,17,141.27700000000004,standard_in_buffer,0.0390625,standard,b
642,642,01:00:00,C,17,117.731,standard_in_buffer,0.0390625,standard,c
643,643,01:00:00,D,17,5.8870000000000005,standard_in_water,0.0390625,standard,a
644,644,01:00:00,E,17,11.773,standard_in_water,0.0390625,standard,b
645,645,01:00:00,F,17,8.83,standard_in_water,0.0390625,standard,c
646,646,01:00:00,G,17,2130.929,no_target,,11E,a
647,647,01:00:00,H,17,0.0,no_sample,,no_sample,
648,648,01:00:00,A,19,88.29799999999999,standard_in_buffer,0.0195312,standard,a
649,649,01:00:00,B,19,76.525,standard_in_buffer,0.0195312,standard,b
650,650,01:00:00,C,19,111.844,standard_in_buffer,0.0195312,standard,c
651,651,01:00:00,D,19,2.943,standard_in_water,0.0195312,standard,a
652,652,01:00:00,E,19,0.0,standard_in_water,0.0195312,standard,b
653,653,01:00:00,F,19,2.943,standard_in_water,0.0195312,standard,c
654,654,01:00:00,G,19,3637.884,no_target,,11C,b
655,655,01:00:00,H,19,2.943,no_sample,,no_sample,
656,656,01:00:00,A,21,91.241,standard_in_buffer,0.0097656,standard,a
657,657,01:00:00,B,21,135.391,standard_in_buffer,0.0097656,standard,b
658,658,01:00:00,C,21,108.901,standard_in_buffer,0.0097656,standard,c
659,659,01:00:00,D,21,0.0,standard_in_water,0.0097656,standard,a
660,660,01:00:00,E,21,2.943,standard_in_water,0.0097656,standard,b
661,661,01:00:00,F,21,0.0,standard_in_water,0.0097656,standard,c
662,662,01:00:00,G,21,4311.893,no_target,,11D,b
663,663,01:00:00,H,21,0.0,no_sample,,no_sample,
664,664,01:00:00,A,23,85.355,standard_in_buffer,0,standard,a
665,665,01:00:00,B,23,70.639,standard_in_buffer,0,standard,b
666,666,01:00:00,C,23,64.752,standard_in_buffer,0,standard,c
667,667,01:00:00,D,23,5.8870000000000005,standard_in_water,0,standard,a
668,668,01:00:00,E,23,2.943,standard_in_water,0,standard,b
669,669,01:00:00,F,23,0.0,standard_in_water,0,standard,c
670,670,01:00:00,G,23,1639.402,no_target,,11E,b
671,671,01:00:00,H,23,5.8870000000000005,no_sample,,no_sample,
