,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
89,00:02:00,N,11,662.612,,b,no_gRNA,r17A-r3C
90,00:02:00,J,13,51.18899999999999,0.15625,a,standard,standard
91,00:02:00,K,13,62.56399999999999,0.15625,b,standard,standard
92,00:02:00,L,13,22.750999999999998,,a,target_added,H20
93,00:02:00,M,13,25.594,,a,no_target,H20
94,00:02:00,N,13,11.375,,a,no_gRNA,H20
95,00:02:00,J,15,48.345,0.078125,a,standard,standard
96,00:02:00,K,15,62.56399999999999,0.078125,b,standard,standard
97,00:02:00,L,15,22.750999999999998,,b,target_added,H20
98,00:02:00,M,15,17.063,,b,no_target,H20
99,00:02:00,N,15,39.814,,b,no_gRNA,H20
100,00:02:00,J,17,31.281999999999996,0.0390625,a,standard,standard
101,00:02:00,K,17,68.252,0.0390625,b,standard,standard
102,00:02:00,L,17,11.375,,,,
103,00:02:00,M,17,8.531,,,,
104,00:02:00,N,17,11.375,,,,
105,00:02:00,J,19,45.501000000000005,0.0195312,a,standard,standard
106,00:02:00,K,19,48.345,0.0195312,b,standard,standard
107,00:02:00,L,19,25.594,,,,
108,00:02:00,M,19,22.750999999999998,,,,
109,00:02:00,N,19,22.750999999999998,,,,
110,00:02:00,J,21,31.281999999999996,0.0097656,a,standard,standard
111,00:02:00,K,21,39.814,0.0097656,b,standard,standard
112,00:02:00,L,21,25.594,,,,
113,00:02:00,M,21,19.907,,,,
114,00:02:00,N,21,25.594,,,,
115,00:02:00,J,23,59.72,0,a,standard,standard
116,00:02:00,K,23,56.876999999999995,0,b,standard,standard
117,00:02:00,L,23,19.907,,,,
118,00:02:00,M,23,19.907,,,,
119,00:02:00,N,23,11.375,,,,
120,00:04:00,J,1,8603.57,10,a,standard,standard
121,00:04:00,K,1,6901.64,10,b,standard,standard
122,00:04:00,L,1,36.998000000000005,,a,target_added,r5A-GGAGG-phos
123,00:04:00,M,1,39.845,,a,no_target,r5A-GGAGG-phos
124,00:04:00,N,1,28.46,,a,no_gRNA,r5A-GGAGG-phos
125,00:04:00,J,3,1736.0829999999999,5,a,standard,standard
126,00:04:00,K,3,1867.0,5,b,standard,standard
127,00:04:00,L,3,31.305999999999997,,b,target_added,r5A-GGAGG-phos
128,00:04:00,M,3,11.384,,b,no_target,r5A-GGAGG-phos
129,00:04:00,N,3,11.384,,b,no_gRNA,r5A-GGAGG-phos
130,00:04:00,J,5,637.512,2.5,a,standard,standard
131,00:04:00,K,5,680.203,2.5,b,standard,standard
132,00:04:00,L,5,694.433,,a,target_added,r5A-AAAGG-ddC
133,00:04:00,M,5,17.076,,a,no_target,r5A-AAAGG-ddC
134,00:04:00,N,5,19.922,,a,no_gRNA,r5A-AAAGG-ddC
135,00:04:00,J,7,233.375,1.25,a,standard,standard
136,00:04:00,K,7,270.374,1.25,b,standard,standard
137,00:04:00,L,7,609.052,,b,target_added,r5A-AAAGG-ddC
138,00:04:00,M,7,28.46,,b,no_target,r5A-AAAGG-ddC
139,00:04:00,N,7,31.305999999999997,,b,no_gRNA,r5A-AAAGG-ddC
140,00:04:00,J,9,133.764,0.625,a,standard,standard
141,00:04:00,K,9,136.61,0.625,b,standard,standard
142,00:04:00,L,9,4695.960999999999,,a,target_added,r17A-r3C
143,00:04:00,M,9,290.296,,a,no_target,r17A-r3C
144,00:04:00,N,9,509.441,,a,no_gRNA,r17A-r3C
145,00:04:00,J,11,65.459,0.3125,a,standard,standard
146,00:04:00,K,11,102.45700000000001,0.3125,b,standard,standard
147,00:04:00,L,11,4607.734,,b,target_added,r17A-r3C
148,00:04:00,M,11,287.45,,b,no_target,r17A-r3C
