,time,row_384,column_384,rfu_value,replicate,target_added,reporter,phos,gRNA_used
65,00:10:00,F,10,205.15599999999998,a,target_added,RNA-FAM,phos,IVT-G8
66,00:10:00,G,10,199.308,b,no_target,RNA-FAM,phos,IVT-G8
67,00:10:00,H,10,189.84,b,no_target,RNA-FAM,phos,IVT-G8
68,00:10:00,E,12,208.003,a,target_added,RNA-FAM,phos,IVT-C4
69,00:10:00,F,12,219.195,a,target_added,RNA-FAM,phos,IVT-C4
70,00:10:00,G,12,181.658,b,no_target,RNA-FAM,phos,IVT-C4
71,00:10:00,H,12,183.79,b,no_target,RNA-FAM,phos,IVT-C4
72,00:10:00,E,14,221.39700000000002,a,target_added,RNA-FAM,no_phos,syn-11C
73,00:10:00,F,14,214.697,a,target_added,RNA-FAM,no_phos,syn-11C
74,00:10:00,G,14,212.25599999999997,b,no_target,RNA-FAM,no_phos,syn-11C
75,00:10:00,H,14,178.757,b,no_target,RNA-FAM,no_phos,syn-11C
76,00:10:00,E,16,228.854,a,target_added,RNA-FAM,no_phos,IVT-11C
77,00:10:00,F,16,228.489,a,target_added,RNA-FAM,no_phos,IVT-11C
78,00:10:00,G,16,187.56,b,no_target,RNA-FAM,no_phos,IVT-11C
79,00:10:00,H,16,191.40200000000002,b,no_target,RNA-FAM,no_phos,IVT-11C
80,00:10:00,E,18,204.80900000000003,a,target_added,RNA-FAM,no_phos,IVT-B1
81,00:10:00,F,18,206.248,a,target_added,RNA-FAM,no_phos,IVT-B1
82,00:10:00,G,18,191.065,b,no_target,RNA-FAM,no_phos,IVT-B1
83,00:10:00,H,18,198.68099999999998,b,no_target,RNA-FAM,no_phos,IVT-B1
84,00:10:00,E,20,219.856,a,target_added,RNA-FAM,no_phos,IVT-H6
85,00:10:00,F,20,228.59400000000002,a,target_added,RNA-FAM,no_phos,IVT-H6
86,00:10:00,G,20,188.097,b,no_target,RNA-FAM,no_phos,IVT-H6
87,00:10:00,H,20,201.21599999999998,b,no_target,RNA-FAM,no_phos,IVT-H6
88,00:10:00,E,22,212.058,a,target_added,RNA-FAM,no_phos,IVT-G8
89,00:10:00,F,22,196.39,a,target_added,RNA-FAM,no_phos,IVT-G8
90,00:10:00,G,22,192.635,b,no_target,RNA-FAM,no_phos,IVT-G8
91,00:10:00,H,22,197.451,b,no_target,RNA-FAM,no_phos,IVT-G8
92,00:10:00,E,24,208.643,a,target_added,RNA-FAM,no_phos,IVT-C4
93,00:10:00,F,24,220.96400000000003,a,target_added,RNA-FAM,no_phos,IVT-C4
94,00:10:00,G,24,186.88400000000001,b,no_target,RNA-FAM,no_phos,IVT-C4
95,00:10:00,H,24,194.02900000000002,b,no_target,RNA-FAM,no_phos,IVT-C4
96,00:20:00,E,2,264.9,a,target_added,RNA-FAM,phos,syn-11C
97,00:20:00,F,2,259.525,a,target_added,RNA-FAM,phos,syn-11C
98,00:20:00,G,2,184.22799999999998,b,no_target,RNA-FAM,phos,syn-11C
99,00:20:00,H,2,186.043,b,no_target,RNA-FAM,phos,syn-11C
100,00:20:00,E,4,273.334,a,target_added,RNA-FAM,phos,IVT-11C
101,00:20:00,F,4,299.29400000000004,a,target_added,RNA-FAM,phos,IVT-11C
102,00:20:00,G,4,177.329,b,no_target,RNA-FAM,phos,IVT-11C
103,00:20:00,H,4,179.122,b,no_target,RNA-FAM,phos,IVT-11C
104,00:20:00,E,6,202.06599999999997,a,target_added,RNA-FAM,phos,IVT-B1
105,00:20:00,F,6,206.548,a,target_added,RNA-FAM,phos,IVT-B1
106,00:20:00,G,6,183.729,b,no_target,RNA-FAM,phos,IVT-B1
107,00:20:00,H,6,184.019,b,no_target,RNA-FAM,phos,IVT-B1
108,00:20:00,E,8,276.428,a,target_added,RNA-FAM,phos,IVT-H6
109,00:20:00,F,8,260.79900000000004,a,target_added,RNA-FAM,phos,IVT-H6
110,00:20:00,G,8,178.236,b,no_target,RNA-FAM,phos,IVT-H6
111,00:20:00,H,8,182.577,b,no_target,RNA-FAM,phos,IVT-H6
112,00:20:00,E,10,215.89,a,target_added,RNA-FAM,phos,IVT-G8
113,00:20:00,F,10,222.834,a,target_added,RNA-FAM,phos,IVT-G8
114,00:20:00,G,10,198.52900000000002,b,no_target,RNA-FAM,phos,IVT-G8
115,00:20:00,H,10,189.452,b,no_target,RNA-FAM,phos,IVT-G8
116,00:20:00,E,12,235.925,a,target_added,RNA-FAM,phos,IVT-C4
117,00:20:00,F,12,250.03799999999998,a,target_added,RNA-FAM,phos,IVT-C4
118,00:20:00,G,12,177.463,b,no_target,RNA-FAM,phos,IVT-C4
119,00:20:00,H,12,179.15599999999998,b,no_target,RNA-FAM,phos,IVT-C4
120,00:20:00,E,14,256.562,a,target_added,RNA-FAM,no_phos,syn-11C
121,00:20:00,F,14,254.048,a,target_added,RNA-FAM,no_phos,syn-11C
122,00:20:00,G,14,220.8,b,no_target,RNA-FAM,no_phos,syn-11C
123,00:20:00,H,14,176.391,b,no_target,RNA-FAM,no_phos,syn-11C
124,00:20:00,E,16,275.543,a,target_added,RNA-FAM,no_phos,IVT-11C
125,00:20:00,F,16,271.01,a,target_added,RNA-FAM,no_phos,IVT-11C
126,00:20:00,G,16,187.93599999999998,b,no_target,RNA-FAM,no_phos,IVT-11C
127,00:20:00,H,16,190.275,b,no_target,RNA-FAM,no_phos,IVT-11C
128,00:20:00,E,18,218.604,a,target_added,RNA-FAM,no_phos,IVT-B1
129,00:20:00,F,18,222.761,a,target_added,RNA-FAM,no_phos,IVT-B1
130,00:20:00,G,18,191.347,b,no_target,RNA-FAM,no_phos,IVT-B1
131,00:20:00,H,18,196.768,b,no_target,RNA-FAM,no_phos,IVT-B1
132,00:20:00,E,20,255.295,a,target_added,RNA-FAM,no_phos,IVT-H6
133,00:20:00,F,20,262.02099999999996,a,target_added,RNA-FAM,no_phos,IVT-H6
134,00:20:00,G,20,186.736,b,no_target,RNA-FAM,no_phos,IVT-H6
135,00:20:00,H,20,199.993,b,no_target,RNA-FAM,no_phos,IVT-H6
136,00:20:00,E,22,228.83,a,target_added,RNA-FAM,no_phos,IVT-G8
137,00:20:00,F,22,212.076,a,target_added,RNA-FAM,no_phos,IVT-G8
138,00:20:00,G,22,191.99900000000002,b,no_target,RNA-FAM,no_phos,IVT-G8
139,00:20:00,H,22,197.40200000000002,b,no_target,RNA-FAM,no_phos,IVT-G8
140,00:20:00,E,24,236.405,a,target_added,RNA-FAM,no_phos,IVT-C4
141,00:20:00,F,24,248.123,a,target_added,RNA-FAM,no_phos,IVT-C4
142,00:20:00,G,24,186.78400000000002,b,no_target,RNA-FAM,no_phos,IVT-C4
143,00:20:00,H,24,192.50900000000001,b,no_target,RNA-FAM,no_phos,IVT-C4
144,00:30:00,E,2,307.865,a,target_added,RNA-FAM,phos,syn-11C
145,00:30:00,F,2,305.712,a,target_added,RNA-FAM,phos,syn-11C
146,00:30:00,G,2,179.46,b,no_target,RNA-FAM,phos,syn-11C
147,00:30:00,H,2,183.30200000000002,b,no_target,RNA-FAM,phos,syn-11C
148,00:30:00,E,4,314.472,a,target_added,RNA-FAM,phos,IVT-11C
149,00:30:00,F,4,363.469,a,target_added,RNA-FAM,phos,IVT-11C
150,00:30:00,G,4,174.30599999999998,b,no_target,RNA-FAM,phos,IVT-11C
151,00:30:00,H,4,174.893,b,no_target,RNA-FAM,phos,IVT-11C
152,00:30:00,E,6,212.644,a,target_added,RNA-FAM,phos,IVT-B1
153,00:30:00,F,6,221.06900000000002,a,target_added,RNA-FAM,phos,IVT-B1
154,00:30:00,G,6,179.072,b,no_target,RNA-FAM,phos,IVT-B1
155,00:30:00,H,6,179.576,b,no_target,RNA-FAM,phos,IVT-B1
156,00:30:00,E,8,315.449,a,target_added,RNA-FAM,phos,IVT-H6
157,00:30:00,F,8,301.006,a,target_added,RNA-FAM,phos,IVT-H6
158,00:30:00,G,8,176.424,b,no_target,RNA-FAM,phos,IVT-H6
