,time,row_384,column_384,rfu_value
0,00:00:00,A,2,4.04
1,00:00:00,B,2,3.2030000000000003
2,00:00:00,C,2,2.96
3,00:00:00,D,2,3.216
16,00:00:00,A,4,3.457
17,00:00:00,B,4,3.47
18,00:00:00,C,4,2.948
19,00:00:00,D,4,3.01
32,00:00:00,A,6,3.627
33,00:00:00,B,6,3.298
34,00:00:00,C,6,3.108
35,00:00:00,D,6,3.3569999999999998
48,00:00:00,A,8,3.642
49,00:00:00,B,8,3.378
50,00:00:00,C,8,3.015
51,00:00:00,D,8,2.818
64,00:00:00,A,10,3.295
65,00:00:00,B,10,3.5789999999999997
66,00:00:00,C,10,3.0989999999999998
67,00:00:00,D,10,3.847
80,00:00:00,A,12,3.431
81,00:00:00,B,12,3.9989999999999997
82,00:00:00,C,12,3.26
83,00:00:00,D,12,2.863
96,00:00:00,A,14,3.58
97,00:00:00,B,14,3.642
98,00:00:00,C,14,2.8339999999999996
99,00:00:00,D,14,3.1430000000000002
112,00:00:00,A,16,3.4589999999999996
113,00:00:00,B,16,3.6860000000000004
114,00:00:00,C,16,3.022
115,00:00:00,D,16,3.052
128,00:00:00,A,18,3.272
129,00:00:00,B,18,3.141
130,00:00:00,C,18,2.804
131,00:00:00,D,18,2.755
144,00:00:00,A,20,3.342
145,00:00:00,B,20,3.1319999999999997
146,00:00:00,C,20,3.944
147,00:00:00,D,20,3.167
160,00:00:00,A,22,3.2739999999999996
161,00:00:00,B,22,3.7489999999999997
162,00:00:00,C,22,3.0980000000000003
163,00:00:00,D,22,3.137
176,00:00:00,A,24,3.043
177,00:00:00,B,24,3.135
178,00:00:00,C,24,4.095
179,00:00:00,D,24,3.2960000000000003
192,00:10:00,A,2,4.08
193,00:10:00,B,2,3.655
194,00:10:00,C,2,3.138
195,00:10:00,D,2,3.2110000000000003
208,00:10:00,A,4,4.127
209,00:10:00,B,4,3.74
210,00:10:00,C,4,3.145
211,00:10:00,D,4,3.1519999999999997
224,00:10:00,A,6,3.7910000000000004
225,00:10:00,B,6,3.782
226,00:10:00,C,6,3.412
227,00:10:00,D,6,3.216
240,00:10:00,A,8,4.143
241,00:10:00,B,8,3.657
242,00:10:00,C,8,3.003
243,00:10:00,D,8,2.889
256,00:10:00,A,10,3.548
257,00:10:00,B,10,3.8480000000000003
258,00:10:00,C,10,3.26
259,00:10:00,D,10,3.7889999999999997
272,00:10:00,A,12,4.127
273,00:10:00,B,12,4.178999999999999
274,00:10:00,C,12,3.193
275,00:10:00,D,12,3.065
288,00:10:00,A,14,4.103
289,00:10:00,B,14,4.235
290,00:10:00,C,14,2.853
291,00:10:00,D,14,3.0380000000000003
304,00:10:00,A,16,4.2669999999999995
305,00:10:00,B,16,4.197
306,00:10:00,C,16,2.96
307,00:10:00,D,16,2.958
320,00:10:00,A,18,3.6189999999999998
321,00:10:00,B,18,3.821
322,00:10:00,C,18,2.7960000000000003
323,00:10:00,D,18,2.763
336,00:10:00,A,20,3.805
337,00:10:00,B,20,4.124
338,00:10:00,C,20,3.65
339,00:10:00,D,20,3.134
352,00:10:00,A,22,3.864
353,00:10:00,B,22,4.203
354,00:10:00,C,22,3.3760000000000003
