,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_DNA_molecules,hours,minutes,seconds,cas12a_timing,cas12a_minutes
62,00:00:00,O,7,394072.75,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,00,00,00,3hr,180
64,00:00:00,A,9,283.131,a,NANCI_UMP_standard,0.625,,,,,,00,00,00,NANCI_UMP_standard,0
65,00:00:00,B,9,298.703,b,NANCI_UMP_standard,0.625,,,,,,00,00,00,NANCI_UMP_standard,0
66,00:00:00,C,9,339.75699999999995,c,NANCI_UMP_standard,0.625,,,,,,00,00,00,NANCI_UMP_standard,0
68,00:00:00,E,9,3454.196,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,30mins,30
70,00:00:00,G,9,4592.380999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,1hr,60
72,00:00:00,I,9,8140.01,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,2hr,120
74,00:00:00,K,9,8169.7390000000005,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
76,00:00:00,M,9,261.89599999999996,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
78,00:00:00,O,9,210.93200000000002,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,00,00,00,3hr,180
80,00:00:00,A,11,161.385,a,NANCI_UMP_standard,0.3125,,,,,,00,00,00,NANCI_UMP_standard,0
81,00:00:00,B,11,159.969,b,NANCI_UMP_standard,0.3125,,,,,,00,00,00,NANCI_UMP_standard,0
82,00:00:00,C,11,181.204,c,NANCI_UMP_standard,0.3125,,,,,,00,00,00,NANCI_UMP_standard,0
84,00:00:00,E,11,488.401,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,30mins,30
86,00:00:00,G,11,2584.984,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,1hr,60
88,00:00:00,I,11,999.452,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,2hr,120
90,00:00:00,K,11,1300.986,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,3hr,180
92,00:00:00,M,11,268.974,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,00,00,00,3hr,180
94,00:00:00,O,11,184.035,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,,,00,00,00,3hr,180
96,00:00:00,A,13,72.19800000000001,a,NANCI_UMP_standard,0.15625,,,,,,00,00,00,NANCI_UMP_standard,0
97,00:00:00,B,13,100.51100000000001,b,NANCI_UMP_standard,0.15625,,,,,,00,00,00,NANCI_UMP_standard,0
98,00:00:00,C,13,83.524,c,NANCI_UMP_standard,0.15625,,,,,,00,00,00,NANCI_UMP_standard,0
100,00:00:00,E,13,164.21599999999998,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,30mins,30
102,00:00:00,G,13,179.78799999999998,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,1hr,60
104,00:00:00,I,13,247.739,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,2hr,120
106,00:00:00,K,13,322.769,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,3hr,180
108,00:00:00,M,13,342545.781,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
110,00:00:00,O,13,87.771,,,,r17U-TTATT-phos,,,,,00,00,00,,
112,00:00:00,A,15,50.964,a,NANCI_UMP_standard,0.078125,,,,,,00,00,00,NANCI_UMP_standard,0
113,00:00:00,B,15,59.457,b,NANCI_UMP_standard,0.078125,,,,,,00,00,00,NANCI_UMP_standard,0
114,00:00:00,C,15,83.524,c,NANCI_UMP_standard,0.078125,,,,,,00,00,00,NANCI_UMP_standard,0
116,00:00:00,E,15,148.644,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,30mins,30
118,00:00:00,G,15,168.463,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,1hr,60
120,00:00:00,I,15,161.385,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,2hr,120
122,00:00:00,K,15,254.81799999999998,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,3hr,180
124,00:00:00,M,15,332820.25,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,00,00,00,3hr,180
126,00:00:00,O,15,117.499,,,,r17U-TTATT-phos,,,,,00,00,00,,
128,00:00:00,A,17,49.548,a,NANCI_UMP_standard,0.0390625,,,,,,00,00,00,NANCI_UMP_standard,0
129,00:00:00,B,17,28.313000000000002,b,NANCI_UMP_standard,0.0390625,,,,,,00,00,00,NANCI_UMP_standard,0
130,00:00:00,C,17,46.717,c,NANCI_UMP_standard,0.0390625,,,,,,00,00,00,NANCI_UMP_standard,0
132,00:00:00,E,17,3220.613,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,30mins,30
134,00:00:00,G,17,4609.369000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,1hr,60
136,00:00:00,I,17,6994.746,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,2hr,120
138,00:00:00,K,17,7997.029,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
140,00:00:00,M,17,334302.438,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,00,00,00,3hr,180
142,00:00:00,O,17,117.499,,,,r17U-TTATT-phos,,,,,00,00,00,,
144,00:00:00,A,19,29.729,a,NANCI_UMP_standard,0.0195312,,,,,,00,00,00,NANCI_UMP_standard,0
145,00:00:00,B,19,35.391,b,NANCI_UMP_standard,0.0195312,,,,,,00,00,00,NANCI_UMP_standard,0
