,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_DNA_molecules,hours,minutes,seconds,cas12a_timing,cas12a_minutes
3274,02:50:00,K,1,4291.28,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3276,02:50:00,M,1,70766.602,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3278,02:50:00,O,1,78073.422,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3280,02:50:00,A,3,1051.629,a,NANCI_UMP_standard,5,,,,,,02,50,00,NANCI_UMP_standard,0
3281,02:50:00,B,3,1040.136,b,NANCI_UMP_standard,5,,,,,,02,50,00,NANCI_UMP_standard,0
3282,02:50:00,C,3,1038.6989999999998,c,NANCI_UMP_standard,5,,,,,,02,50,00,NANCI_UMP_standard,0
3284,02:50:00,E,3,310.317,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,30mins,30
3286,02:50:00,G,3,383.586,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,1hr,60
3288,02:50:00,I,3,607.7040000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,2hr,120
3290,02:50:00,K,3,767.172,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,3hr,180
3292,02:50:00,M,3,65475.414000000004,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,02,50,00,3hr,180
3294,02:50:00,O,3,71805.305,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,02,50,00,3hr,180
3296,02:50:00,A,5,478.405,a,NANCI_UMP_standard,2.5,,,,,,02,50,00,NANCI_UMP_standard,0
3297,02:50:00,B,5,510.01099999999997,b,NANCI_UMP_standard,2.5,,,,,,02,50,00,NANCI_UMP_standard,0
3298,02:50:00,C,5,548.8009999999999,c,NANCI_UMP_standard,2.5,,,,,,02,50,00,NANCI_UMP_standard,0
3300,02:50:00,E,5,110.62200000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,30mins,30
3302,02:50:00,G,5,104.876,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,1hr,60
3304,02:50:00,I,5,158.032,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,2hr,120
3306,02:50:00,K,5,195.385,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,3hr,180
3308,02:50:00,M,5,38476.414,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,02,50,00,3hr,180
3310,02:50:00,O,5,42570.875,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,02,50,00,3hr,180
3312,02:50:00,A,7,237.048,a,NANCI_UMP_standard,1.25,,,,,,02,50,00,NANCI_UMP_standard,0
3313,02:50:00,B,7,290.204,b,NANCI_UMP_standard,1.25,,,,,,02,50,00,NANCI_UMP_standard,0
3314,02:50:00,C,7,268.654,c,NANCI_UMP_standard,1.25,,,,,,02,50,00,NANCI_UMP_standard,0
3316,02:50:00,E,7,97.69200000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,30mins,30
3318,02:50:00,G,7,81.889,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,1hr,60
3320,02:50:00,I,7,104.876,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,2hr,120
3322,02:50:00,K,7,96.256,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,3hr,180
3324,02:50:00,M,7,42045.059,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,02,50,00,3hr,180
3326,02:50:00,O,7,45570.602,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,02,50,00,3hr,180
3328,02:50:00,A,9,156.595,a,NANCI_UMP_standard,0.625,,,,,,02,50,00,NANCI_UMP_standard,0
3329,02:50:00,B,9,142.22899999999998,b,NANCI_UMP_standard,0.625,,,,,,02,50,00,NANCI_UMP_standard,0
3330,02:50:00,C,9,133.609,c,NANCI_UMP_standard,0.625,,,,,,02,50,00,NANCI_UMP_standard,0
3332,02:50:00,E,9,1797.2520000000002,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,30mins,30
3334,02:50:00,G,9,2504.084,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,1hr,60
3336,02:50:00,I,9,4271.167,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,2hr,120
3338,02:50:00,K,9,4522.581,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3340,02:50:00,M,9,86.199,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3342,02:50:00,O,9,68.959,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,02,50,00,3hr,180
3344,02:50:00,A,11,83.32600000000001,a,NANCI_UMP_standard,0.3125,,,,,,02,50,00,NANCI_UMP_standard,0
3345,02:50:00,B,11,91.946,b,NANCI_UMP_standard,0.3125,,,,,,02,50,00,NANCI_UMP_standard,0
3346,02:50:00,C,11,99.12899999999999,c,NANCI_UMP_standard,0.3125,,,,,,02,50,00,NANCI_UMP_standard,0
3348,02:50:00,E,11,270.091,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,30mins,30
3350,02:50:00,G,11,468.349,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,1hr,60
3352,02:50:00,I,11,609.141,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,2hr,120
3354,02:50:00,K,11,774.355,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,3hr,180
3356,02:50:00,M,11,135.045,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,02,50,00,3hr,180
3358,02:50:00,O,11,89.072,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,,,02,50,00,3hr,180
3360,02:50:00,A,13,61.776,a,NANCI_UMP_standard,0.15625,,,,,,02,50,00,NANCI_UMP_standard,0
3361,02:50:00,B,13,60.339,b,NANCI_UMP_standard,0.15625,,,,,,02,50,00,NANCI_UMP_standard,0
3362,02:50:00,C,13,51.718999999999994,c,NANCI_UMP_standard,0.15625,,,,,,02,50,00,NANCI_UMP_standard,0
3364,02:50:00,E,13,116.369,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,30mins,30
3366,02:50:00,G,13,93.382,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,1hr,60
3368,02:50:00,I,13,133.609,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,2hr,120
3370,02:50:00,K,13,147.975,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,3hr,180
3372,02:50:00,M,13,69975.008,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3374,02:50:00,O,13,35.916,,,,r17U-TTATT-phos,,,,,02,50,00,,
3376,02:50:00,A,15,27.296,a,NANCI_UMP_standard,0.078125,,,,,,02,50,00,NANCI_UMP_standard,0
3377,02:50:00,B,15,38.79,b,NANCI_UMP_standard,0.078125,,,,,,02,50,00,NANCI_UMP_standard,0
3378,02:50:00,C,15,45.973,c,NANCI_UMP_standard,0.078125,,,,,,02,50,00,NANCI_UMP_standard,0
3380,02:50:00,E,15,86.199,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,30mins,30
3382,02:50:00,G,15,84.762,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,1hr,60
3384,02:50:00,I,15,104.876,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,2hr,120
3386,02:50:00,K,15,83.32600000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,3hr,180
3388,02:50:00,M,15,71572.562,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,02,50,00,3hr,180
3390,02:50:00,O,15,31.605999999999998,,,,r17U-TTATT-phos,,,,,02,50,00,,
3392,02:50:00,A,17,30.17,a,NANCI_UMP_standard,0.0390625,,,,,,02,50,00,NANCI_UMP_standard,0
3393,02:50:00,B,17,33.043,b,NANCI_UMP_standard,0.0390625,,,,,,02,50,00,NANCI_UMP_standard,0
3394,02:50:00,C,17,20.113,c,NANCI_UMP_standard,0.0390625,,,,,,02,50,00,NANCI_UMP_standard,0
3396,02:50:00,E,17,1824.5479999999998,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,30mins,30
3398,02:50:00,G,17,2545.7470000000003,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,1hr,60
3400,02:50:00,I,17,3771.212,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,2hr,120
3402,02:50:00,K,17,4453.621,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3404,02:50:00,M,17,29168.346,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,02,50,00,3hr,180
3406,02:50:00,O,17,27.296,,,,r17U-TTATT-phos,,,,,02,50,00,,
3408,02:50:00,A,19,18.676,a,NANCI_UMP_standard,0.0195312,,,,,,02,50,00,NANCI_UMP_standard,0
3409,02:50:00,B,19,21.55,b,NANCI_UMP_standard,0.0195312,,,,,,02,50,00,NANCI_UMP_standard,0
3410,02:50:00,C,19,50.283,c,NANCI_UMP_standard,0.0195312,,,,,,02,50,00,NANCI_UMP_standard,0
3412,02:50:00,E,19,304.57,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,30mins,30
3414,02:50:00,G,19,341.923,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,1hr,60
3416,02:50:00,I,19,607.7040000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,2hr,120
3418,02:50:00,K,19,818.8919999999999,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,02,50,00,3hr,180
3420,02:50:00,M,19,40489.164,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,02,50,00,3hr,180
3422,02:50:00,O,19,7.183,,,,r17U-TTATT-phos,,,,,02,50,00,,
3424,02:50:00,A,21,27.296,a,NANCI_UMP_standard,0.0097656,,,,,,02,50,00,NANCI_UMP_standard,0
3425,02:50:00,B,21,20.113,b,NANCI_UMP_standard,0.0097656,,,,,,02,50,00,NANCI_UMP_standard,0
3426,02:50:00,C,21,17.24,c,NANCI_UMP_standard,0.0097656,,,,,,02,50,00,NANCI_UMP_standard,0
3428,02:50:00,E,21,104.876,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,30mins,30
3430,02:50:00,G,21,127.86200000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,1hr,60
3432,02:50:00,I,21,155.158,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,2hr,120
3434,02:50:00,K,21,152.285,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,02,50,00,3hr,180
3436,02:50:00,M,21,71.833,b,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,02,50,00,3hr,180
3438,02:50:00,O,21,14.367,,,,r17U-TTATT-phos,,,,,02,50,00,,
3440,02:50:00,A,23,20.113,a,NANCI_UMP_standard,0,,,,,,02,50,00,NANCI_UMP_standard,0
3441,02:50:00,B,23,18.676,b,NANCI_UMP_standard,0,,,,,,02,50,00,NANCI_UMP_standard,0
3442,02:50:00,C,23,17.24,c,NANCI_UMP_standard,0,,,,,,02,50,00,NANCI_UMP_standard,0
3444,02:50:00,E,23,99.12899999999999,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,30mins,30
3446,02:50:00,G,23,87.63600000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,1hr,60
3448,02:50:00,I,23,122.115,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,2hr,120
3450,02:50:00,K,23,107.749,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,02,50,00,3hr,180
3452,02:50:00,M,23,84.762,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,02,50,00,3hr,180
3454,02:50:00,O,23,28.733,,,,r17U-TTATT-phos,,,,,02,50,00,,
3456,03:00:00,A,1,2073.567,a,NANCI_UMP_standard,10,,,,,,03,00,00,NANCI_UMP_standard,0
3457,03:00:00,B,1,2057.771,b,NANCI_UMP_standard,10,,,,,,03,00,00,NANCI_UMP_standard,0
3458,03:00:00,C,1,2110.902,c,NANCI_UMP_standard,10,,,,,,03,00,00,NANCI_UMP_standard,0
3460,03:00:00,E,1,1912.736,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,30mins,30
3462,03:00:00,G,1,2659.45,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,1hr,60
3464,03:00:00,I,1,3994.9179999999997,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,2hr,120
3466,03:00:00,K,1,4193.085,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3468,03:00:00,M,1,66575.273,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3470,03:00:00,O,1,74154.414,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3472,03:00:00,A,3,1052.579,a,NANCI_UMP_standard,5,,,,,,03,00,00,NANCI_UMP_standard,0
3473,03:00:00,B,3,1055.451,b,NANCI_UMP_standard,5,,,,,,03,00,00,NANCI_UMP_standard,0
3474,03:00:00,C,3,1122.943,c,NANCI_UMP_standard,5,,,,,,03,00,00,NANCI_UMP_standard,0
3476,03:00:00,E,3,252.734,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,30mins,30
3478,03:00:00,G,3,346.07300000000004,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,1hr,60
3480,03:00:00,I,3,597.371,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,2hr,120
3482,03:00:00,K,3,745.278,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,3hr,180
3484,03:00:00,M,3,62255.82,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,03,00,00,3hr,180
3486,03:00:00,O,3,67080.742,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,03,00,00,3hr,180
3488,03:00:00,A,5,539.931,a,NANCI_UMP_standard,2.5,,,,,,03,00,00,NANCI_UMP_standard,0
3489,03:00:00,B,5,475.31199999999995,b,NANCI_UMP_standard,2.5,,,,,,03,00,00,NANCI_UMP_standard,0
3490,03:00:00,C,5,512.648,c,NANCI_UMP_standard,2.5,,,,,,03,00,00,NANCI_UMP_standard,0
3492,03:00:00,E,5,145.035,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,30mins,30
3494,03:00:00,G,5,129.239,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,1hr,60
3496,03:00:00,I,5,134.983,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,2hr,120
3498,03:00:00,K,5,186.678,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,3hr,180
3500,03:00:00,M,5,35038.105,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,03,00,00,3hr,180
3502,03:00:00,O,5,39278.578,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,03,00,00,3hr,180
3504,03:00:00,A,7,241.24599999999998,a,NANCI_UMP_standard,1.25,,,,,,03,00,00,NANCI_UMP_standard,0
3505,03:00:00,B,7,277.14599999999996,b,NANCI_UMP_standard,1.25,,,,,,03,00,00,NANCI_UMP_standard,0
3506,03:00:00,C,7,287.198,c,NANCI_UMP_standard,1.25,,,,,,03,00,00,NANCI_UMP_standard,0
3508,03:00:00,E,7,123.495,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,30mins,30
3510,03:00:00,G,7,94.775,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,1hr,60
3512,03:00:00,I,7,134.983,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,2hr,120
3514,03:00:00,K,7,112.007,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,3hr,180
3516,03:00:00,M,7,39053.129,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,03,00,00,3hr,180
3518,03:00:00,O,7,41561.797,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,03,00,00,3hr,180
3520,03:00:00,A,9,120.62299999999999,a,NANCI_UMP_standard,0.625,,,,,,03,00,00,NANCI_UMP_standard,0
3521,03:00:00,B,9,186.678,b,NANCI_UMP_standard,0.625,,,,,,03,00,00,NANCI_UMP_standard,0
3522,03:00:00,C,9,132.111,c,NANCI_UMP_standard,0.625,,,,,,03,00,00,NANCI_UMP_standard,0
3524,03:00:00,E,9,1889.76,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,30mins,30
3526,03:00:00,G,9,2508.6710000000003,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,1hr,60
3528,03:00:00,I,9,4315.144,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,2hr,120
3530,03:00:00,K,9,4162.929,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3532,03:00:00,M,9,103.391,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3534,03:00:00,O,9,81.851,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,03,00,00,3hr,180
3536,03:00:00,A,11,67.491,a,NANCI_UMP_standard,0.3125,,,,,,03,00,00,NANCI_UMP_standard,0
3537,03:00:00,B,11,89.031,b,NANCI_UMP_standard,0.3125,,,,,,03,00,00,NANCI_UMP_standard,0
3538,03:00:00,C,11,99.083,c,NANCI_UMP_standard,0.3125,,,,,,03,00,00,NANCI_UMP_standard,0
3540,03:00:00,E,11,282.89,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,30mins,30
3542,03:00:00,G,11,412.129,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,1hr,60
3544,03:00:00,I,11,637.5790000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,2hr,120
3546,03:00:00,K,11,752.4580000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,03,00,00,3hr,180
3548,03:00:00,M,11,136.41899999999998,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,03,00,00,3hr,180
3550,03:00:00,O,11,109.135,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,,,03,00,00,3hr,180
3552,03:00:00,A,13,61.747,a,NANCI_UMP_standard,0.15625,,,,,,03,00,00,NANCI_UMP_standard,0
3553,03:00:00,B,13,51.696000000000005,b,NANCI_UMP_standard,0.15625,,,,,,03,00,00,NANCI_UMP_standard,0
3554,03:00:00,C,13,50.26,c,NANCI_UMP_standard,0.15625,,,,,,03,00,00,NANCI_UMP_standard,0
3556,03:00:00,E,13,99.083,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,30mins,30
3558,03:00:00,G,13,103.391,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,1hr,60
3560,03:00:00,I,13,134.983,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,2hr,120
3562,03:00:00,K,13,176.627,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,03,00,00,3hr,180
3564,03:00:00,M,13,65811.32,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3566,03:00:00,O,13,28.72,,,,r17U-TTATT-phos,,,,,03,00,00,,
3568,03:00:00,A,15,30.156,a,NANCI_UMP_standard,0.078125,,,,,,03,00,00,NANCI_UMP_standard,0
3569,03:00:00,B,15,35.9,b,NANCI_UMP_standard,0.078125,,,,,,03,00,00,NANCI_UMP_standard,0
3570,03:00:00,C,15,54.568000000000005,c,NANCI_UMP_standard,0.078125,,,,,,03,00,00,NANCI_UMP_standard,0
3572,03:00:00,E,15,84.723,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,30mins,30
3574,03:00:00,G,15,78.979,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,1hr,60
3576,03:00:00,I,15,89.031,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,2hr,120
3578,03:00:00,K,15,87.595,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,03,00,00,3hr,180
3580,03:00:00,M,15,68028.492,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,03,00,00,3hr,180
3582,03:00:00,O,15,37.336,,,,r17U-TTATT-phos,,,,,03,00,00,,
3584,03:00:00,A,17,25.848000000000003,a,NANCI_UMP_standard,0.0390625,,,,,,03,00,00,NANCI_UMP_standard,0
3585,03:00:00,B,17,37.336,b,NANCI_UMP_standard,0.0390625,,,,,,03,00,00,NANCI_UMP_standard,0
3586,03:00:00,C,17,22.976,c,NANCI_UMP_standard,0.0390625,,,,,,03,00,00,NANCI_UMP_standard,0
3588,03:00:00,E,17,1810.781,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,30mins,30
3590,03:00:00,G,17,2557.494,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,1hr,60
3592,03:00:00,I,17,3775.212,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,2hr,120
3594,03:00:00,K,17,4549.21,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,03,00,00,3hr,180
3596,03:00:00,M,17,26189.547000000002,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,03,00,00,3hr,180
3598,03:00:00,O,17,43.08,,,,r17U-TTATT-phos,,,,,03,00,00,,
3600,03:00:00,A,19,17.232,a,NANCI_UMP_standard,0.0195312,,,,,,03,00,00,NANCI_UMP_standard,0
