,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
38,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,A,7,A7,1553.5,NANCY_DREW,400fM,2.4E5,2.4E5
39,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,A,7,A7,1541.7,NANCY_DREW,400fM,2.4E5,2.4E5
40,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,A,7,A7,1522.2,NANCY_DREW,400fM,2.4E5,2.4E5
41,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,A,7,A7,1510.0,NANCY_DREW,400fM,2.4E5,2.4E5
42,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,A,8,A8,1471.39,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
43,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,A,8,A8,1437.69,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
44,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,A,8,A8,1446.19,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
45,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,A,8,A8,1433.49,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
46,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,A,8,A8,1437.19,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
47,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,A,8,A8,1459.09,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
48,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,1,B1,1656.82,NANCY_DREW,no_reporter,no_reporter,0
49,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,1,B1,1652.31,NANCY_DREW,no_reporter,no_reporter,0
50,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,1,B1,1642.31,NANCY_DREW,no_reporter,no_reporter,0
51,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,1,B1,1631.61,NANCY_DREW,no_reporter,no_reporter,0
52,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,1,B1,1610.31,NANCY_DREW,no_reporter,no_reporter,0
53,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,1,B1,1587.41,NANCY_DREW,no_reporter,no_reporter,0
54,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,2,B2,1734.63,NANCY_DREW,40nM,2.4E10,2.4E10
55,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,2,B2,1772.43,NANCY_DREW,40nM,2.4E10,2.4E10
56,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,2,B2,1764.33,NANCY_DREW,40nM,2.4E10,2.4E10
57,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,2,B2,1818.74,NANCY_DREW,40nM,2.4E10,2.4E10
58,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,2,B2,1754.93,NANCY_DREW,40nM,2.4E10,2.4E10
59,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,2,B2,1712.82,NANCY_DREW,40nM,2.4E10,2.4E10
60,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,3,B3,1443.99,NANCY_DREW,4nM,2.4E9,2.4E9
61,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,3,B3,1459.59,NANCY_DREW,4nM,2.4E9,2.4E9
62,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,3,B3,1453.29,NANCY_DREW,4nM,2.4E9,2.4E9
63,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,3,B3,1439.89,NANCY_DREW,4nM,2.4E9,2.4E9
64,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,3,B3,1424.69,NANCY_DREW,4nM,2.4E9,2.4E9
