,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,background_DNA,background_DNA_mass,hours,minutes,seconds,kit
50,00:00:00,I,11,69.125,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,40ng,00,00,00,AMP
51,00:00:00,K,11,55.3,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,40ng,00,00,00,AMP
52,00:00:00,M,11,19.355,a,IS_gRNAs,,r17Ar3C,no_RNAseT,IS6110_A7,IS6110_A7,none,none,00,00,00,AMP
53,00:00:00,N,11,8.295,b,IS_gRNAs,,r17Ar3C,no_RNAseT,IS6110_A7,IS6110_A7,none,none,00,00,00,AMP
54,00:00:00,A,13,19.355,a,AMP_standard,0.15625,,,,,,,00,00,00,AMP
55,00:00:00,B,13,19.355,b,AMP_standard,0.15625,,,,,,,00,00,00,AMP
56,00:00:00,C,13,27.65,c,AMP_standard,0.15625,,,,,,,00,00,00,AMP
57,00:00:00,E,13,4205.575,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,4ng,00,00,00,AMP
58,00:00:00,G,13,6177.024,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,4ng,00,00,00,AMP
59,00:00:00,I,13,69.125,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,4ng,00,00,00,AMP
60,00:00:00,K,13,102.305,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,4ng,00,00,00,AMP
61,00:00:00,M,13,1133.653,a,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS1081_H6,none,none,00,00,00,AMP
62,00:00:00,N,13,558.531,b,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS1081_H6,none,none,00,00,00,AMP
63,00:00:00,A,15,16.59,a,AMP_standard,0.078125,,,,,,,00,00,00,AMP
64,00:00:00,B,15,8.295,b,AMP_standard,0.078125,,,,,,,00,00,00,AMP
65,00:00:00,C,15,19.355,c,AMP_standard,0.078125,,,,,,,00,00,00,AMP
66,00:00:00,E,15,4736.456,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,0ng,00,00,00,AMP
67,00:00:00,G,15,6248.915,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,0ng,00,00,00,AMP
68,00:00:00,I,15,105.07,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,0ng,00,00,00,AMP
69,00:00:00,K,15,107.835,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,0ng,00,00,00,AMP
70,00:00:00,M,15,77.42,a,IS_gRNAs,,no_reporter,RNAseT,IS1081_H6,IS1081_H6,none,none,00,00,00,AMP
71,00:00:00,N,15,38.71,b,IS_gRNAs,,no_reporter,RNAseT,IS1081_H6,IS1081_H6,none,none,00,00,00,AMP
72,00:00:00,A,17,22.12,a,AMP_standard,0.0390625,,,,,,,00,00,00,AMP
73,00:00:00,B,17,8.295,b,AMP_standard,0.0390625,,,,,,,00,00,00,AMP
