,Unnamed: 0,time,row_384,column_384,rfu_value,reporter,phos,gRNA_used,standard_conc,replicate,target_added
1575,1575,02:20:00,G,15,151.54399999999995,standard,standard,standard,0.078125,a,standard
1576,1576,02:20:00,H,15,122.951,standard,standard,standard,0.078125,b,standard
1577,1577,02:20:00,I,15,2985.14,r17Ar3C,no_phos,IVT-C11,,a,target_added
1578,1578,02:20:00,J,15,2450.446,r17Ar3C,no_phos,IVT-C11,,b,target_added
1579,1579,02:20:00,K,15,1189.481,r17Ar3C,no_phos,IVT-C11,,a,no_target
1580,1580,02:20:00,L,15,1172.325,r17Ar3C,no_phos,IVT-C11,,b,no_target
1581,1581,02:20:00,M,15,1246.668,H20,no_phos,IVT-C11,,a,target_added
1582,1582,02:20:00,N,15,1152.31,H20,no_phos,IVT-C11,,b,target_added
1583,1583,02:20:00,O,15,11.437,r17Ar3C,no_gRNA,C11-no_gRNA,,b,no_target
1584,1584,02:20:00,G,17,97.217,standard,standard,standard,0.0390625,a,standard
1585,1585,02:20:00,H,17,88.639,standard,standard,standard,0.0390625,b,standard
1586,1586,02:20:00,I,17,2696.348,r17Ar3C,no_phos,IVT-B1,,a,target_added
1587,1587,02:20:00,J,17,2021.546,r17Ar3C,no_phos,IVT-B1,,b,target_added
1588,1588,02:20:00,K,17,1595.506,r17Ar3C,no_phos,IVT-B1,,a,no_target
1589,1589,02:20:00,L,17,1632.677,r17Ar3C,no_phos,IVT-B1,,b,no_target
1590,1590,02:20:00,M,17,1595.506,H20,no_phos,IVT-B1,,a,target_added
1591,1591,02:20:00,N,17,1729.894,H20,no_phos,IVT-B1,,b,target_added
1592,1592,02:20:00,O,17,0.0,r17Ar3C,no_gRNA,B1-no_gRNA,,b,no_target
1593,1593,02:20:00,G,19,140.107,standard,standard,standard,0.0195312,a,standard
1594,1594,02:20:00,H,19,117.233,standard,standard,standard,0.0195312,b,standard
1595,1595,02:20:00,I,19,3165.278,r17Ar3C,no_phos,IVT-H6,,a,target_added
1596,1596,02:20:00,J,19,2770.691,r17Ar3C,no_phos,IVT-H6,,b,target_added
1597,1597,02:20:00,K,19,2004.39,r17Ar3C,no_phos,IVT-H6,,a,no_target
1598,1598,02:20:00,L,19,2118.763,r17Ar3C,no_phos,IVT-H6,,b,no_target
1599,1599,02:20:00,M,19,1927.188,H20,no_phos,IVT-H6,,a,target_added
1600,1600,02:20:00,N,19,2018.687,H20,no_phos,IVT-H6,,b,target_added
1601,1601,02:20:00,O,19,8.578,r17Ar3C,no_gRNA,H6-no_gRNA,,b,no_target
1602,1602,02:20:00,G,21,91.499,standard,standard,standard,0.0097656,a,standard
1603,1603,02:20:00,H,21,100.077,standard,standard,standard,0.0097656,b,standard
1604,1604,02:20:00,I,21,2244.574,r17Ar3C,no_phos,IVT-G8,,a,target_added
1605,1605,02:20:00,J,21,1904.314,r17Ar3C,no_phos,IVT-G8,,b,target_added
1606,1606,02:20:00,K,21,1861.424,r17Ar3C,no_phos,IVT-G8,,a,no_target
1607,1607,02:20:00,L,21,2050.139,r17Ar3C,no_phos,IVT-G8,,b,no_target
1608,1608,02:20:00,M,21,1955.782,H20,no_phos,IVT-G8,,a,target_added
1609,1609,02:20:00,N,21,2010.109,H20,no_phos,IVT-G8,,b,target_added
1610,1610,02:20:00,O,21,14.297,r17Ar3C,no_gRNA,G8-no_gRNA,,b,no_target
1611,1611,02:20:00,G,23,265.918,standard,standard,standard,0,a,standard
1612,1612,02:20:00,H,23,174.419,standard,standard,standard,0,b,standard
1613,1613,02:20:00,I,23,2922.235,r17Ar3C,no_phos,IVT-C4,,a,target_added
1614,1614,02:20:00,J,23,2559.1,r17Ar3C,no_phos,IVT-C4,,b,target_added
1615,1615,02:20:00,K,23,1106.561,r17Ar3C,no_phos,IVT-C4,,a,no_target
1616,1616,02:20:00,L,23,1220.934,r17Ar3C,no_phos,IVT-C4,,b,no_target
1617,1617,02:20:00,M,23,1415.368,H20,no_phos,IVT-C4,,a,target_added
1618,1618,02:20:00,N,23,1306.714,H20,no_phos,IVT-C4,,b,target_added
1619,1619,02:20:00,O,23,11.437,r17Ar3C,no_gRNA,C4-no_gRNA,,b,no_target
1620,1620,02:30:00,G,1,5494.524,standard,standard,standard,10,a,standard
1621,1621,02:30:00,H,1,4918.554,standard,standard,standard,10,b,standard
1622,1622,02:30:00,I,1,2109.989,r17Ar3C,phos,syn-C11,,a,target_added
1623,1623,02:30:00,J,1,2161.312,r17Ar3C,phos,syn-C11,,b,target_added
1624,1624,02:30:00,K,1,62.729,r17Ar3C,phos,syn-C11,,a,no_target
1625,1625,02:30:00,L,1,62.729,r17Ar3C,phos,syn-C11,,b,no_target
1626,1626,02:30:00,M,1,464.768,H20,phos,syn-C11,,a,target_added
1627,1627,02:30:00,N,1,376.376,H20,phos,syn-C11,,b,target_added
1628,1628,02:30:00,O,1,5.7029999999999985,r17Ar3C,no_gRNA,syn-C11_no_gRNA,,a,target_added
1629,1629,02:30:00,G,3,2244.001,standard,standard,standard,5,a,standard
1630,1630,02:30:00,H,3,2500.621,standard,standard,standard,5,b,standard
1631,1631,02:30:00,I,3,1944.611,r17Ar3C,phos,IVT-C11,,a,target_added
1632,1632,02:30:00,J,3,2070.07,r17Ar3C,phos,IVT-C11,,b,target_added
1633,1633,02:30:00,K,3,390.633,r17Ar3C,phos,IVT-C11,,a,no_target
1634,1634,02:30:00,L,3,293.688,r17Ar3C,phos,IVT-C11,,b,no_target
1635,1635,02:30:00,M,3,866.806,H20,phos,IVT-C11,,a,target_added
1636,1636,02:30:00,N,3,644.4019999999998,H20,phos,IVT-C11,,b,target_added
1637,1637,02:30:00,O,3,11.405,r17Ar3C,no_gRNA,C11-no_gRNA,,a,target_added
1638,1638,02:30:00,G,5,1348.682,standard,standard,standard,2.5,a,standard
1639,1639,02:30:00,H,5,1371.4920000000004,standard,standard,standard,2.5,b,standard
1640,1640,02:30:00,I,5,1334.425,r17Ar3C,phos,IVT-B1,,a,target_added
1641,1641,02:30:00,J,5,1345.83,r17Ar3C,phos,IVT-B1,,b,target_added
1642,1642,02:30:00,K,5,593.078,r17Ar3C,phos,IVT-B1,,a,no_target
1643,1643,02:30:00,L,5,593.078,r17Ar3C,phos,IVT-B1,,b,no_target
1644,1644,02:30:00,M,5,804.077,H20,phos,IVT-B1,,a,target_added
1645,1645,02:30:00,N,5,641.5509999999998,H20,phos,IVT-B1,,b,target_added
1646,1646,02:30:00,O,5,17.108,r17Ar3C,no_gRNA,B1-no_gRNA,,a,target_added
1647,1647,02:30:00,G,7,1166.196,standard,standard,standard,1.25,a,standard
1648,1648,02:30:00,H,7,1032.183,standard,standard,standard,1.25,b,standard
1649,1649,02:30:00,I,7,2081.475,r17Ar3C,phos,IVT-H6,,a,target_added
1650,1650,02:30:00,J,7,2118.542,r17Ar3C,phos,IVT-H6,,b,target_added
1651,1651,02:30:00,K,7,852.549,r17Ar3C,phos,IVT-H6,,a,no_target
1652,1652,02:30:00,L,7,915.279,r17Ar3C,phos,IVT-H6,,b,no_target
1653,1653,02:30:00,M,7,1479.8429999999996,H20,phos,IVT-H6,,a,target_added
1654,1654,02:30:00,N,7,1254.588,H20,phos,IVT-H6,,b,target_added
1655,1655,02:30:00,O,7,8.554,r17Ar3C,no_gRNA,H6-no_gRNA,,a,target_added
1656,1656,02:30:00,G,9,364.971,standard,standard,standard,0.625,a,standard
1657,1657,02:30:00,H,9,419.146,standard,standard,standard,0.625,b,standard
1658,1658,02:30:00,I,9,2825.6740000000004,r17Ar3C,phos,IVT-G8,,a,target_added
1659,1659,02:30:00,J,9,2509.175,r17Ar3C,phos,IVT-G8,,b,target_added
1660,1660,02:30:00,K,9,2332.393,r17Ar3C,phos,IVT-G8,,a,no_target
1661,1661,02:30:00,L,9,2095.732,r17Ar3C,phos,IVT-G8,,b,no_target
1662,1662,02:30:00,M,9,2283.92,H20,phos,IVT-G8,,a,target_added
1663,1663,02:30:00,N,9,2044.408,H20,phos,IVT-G8,,b,target_added
1664,1664,02:30:00,O,9,8.554,r17Ar3C,no_gRNA,G8-no_gRNA,,a,target_added
1665,1665,02:30:00,G,11,196.742,standard,standard,standard,0.3125,a,standard
1666,1666,02:30:00,H,11,230.958,standard,standard,standard,0.3125,b,standard
1667,1667,02:30:00,I,11,3447.265,r17Ar3C,phos,IVT-C4,,a,target_added
1668,1668,02:30:00,J,11,3085.145,r17Ar3C,phos,IVT-C4,,b,target_added
1669,1669,02:30:00,K,11,342.16,r17Ar3C,phos,IVT-C4,,a,no_target
1670,1670,02:30:00,L,11,373.525,r17Ar3C,phos,IVT-C4,,b,no_target
1671,1671,02:30:00,M,11,1471.289,H20,phos,IVT-C4,,a,target_added
1672,1672,02:30:00,N,11,1451.33,H20,phos,IVT-C4,,b,target_added
1673,1673,02:30:00,O,11,2.8510000000000004,r17Ar3C,no_gRNA,C4-no_gRNA,,a,target_added
1674,1674,02:30:00,G,13,165.377,standard,standard,standard,0.15625,a,standard
1675,1675,02:30:00,H,13,156.82299999999995,standard,standard,standard,0.15625,b,standard
1676,1676,02:30:00,I,13,2263.96,r17Ar3C,no_phos,syn-C11,,a,target_added
1677,1677,02:30:00,J,13,1679.437,r17Ar3C,no_phos,syn-C11,,b,target_added
1678,1678,02:30:00,K,13,62.729,r17Ar3C,no_phos,syn-C11,,a,no_target
1679,1679,02:30:00,L,13,42.77,r17Ar3C,no_phos,syn-C11,,b,no_target
1680,1680,02:30:00,M,13,168.229,H20,no_phos,syn-C11,,a,target_added
1681,1681,02:30:00,N,13,116.905,H20,no_phos,syn-C11,,b,target_added
1682,1682,02:30:00,O,13,19.959,r17Ar3C,no_gRNA,syn-C11_no_gRNA,,b,no_target
1683,1683,02:30:00,G,15,128.31,standard,standard,standard,0.078125,a,standard
1684,1684,02:30:00,H,15,96.945,standard,standard,standard,0.078125,b,standard
1685,1685,02:30:00,I,15,2782.9040000000005,r17Ar3C,no_phos,IVT-C11,,a,target_added
1686,1686,02:30:00,J,15,2281.069,r17Ar3C,no_phos,IVT-C11,,b,target_added
1687,1687,02:30:00,K,15,1186.156,r17Ar3C,no_phos,IVT-C11,,a,no_target
1688,1688,02:30:00,L,15,1200.412,r17Ar3C,no_phos,IVT-C11,,b,no_target
1689,1689,02:30:00,M,15,1268.844,H20,no_phos,IVT-C11,,a,target_added
1690,1690,02:30:00,N,15,1314.466,H20,no_phos,IVT-C11,,b,target_added
1691,1691,02:30:00,O,15,14.257,r17Ar3C,no_gRNA,C11-no_gRNA,,b,no_target
1692,1692,02:30:00,G,17,57.027,standard,standard,standard,0.0390625,a,standard
1693,1693,02:30:00,H,17,82.689,standard,standard,standard,0.0390625,b,standard
1694,1694,02:30:00,I,17,2520.581,r17Ar3C,no_phos,IVT-B1,,a,target_added
1695,1695,02:30:00,J,17,1916.098,r17Ar3C,no_phos,IVT-B1,,b,target_added
1696,1696,02:30:00,K,17,1536.87,r17Ar3C,no_phos,IVT-B1,,a,no_target
1697,1697,02:30:00,L,17,1622.41,r17Ar3C,no_phos,IVT-B1,,b,no_target
1698,1698,02:30:00,M,17,1585.3429999999996,H20,no_phos,IVT-B1,,a,target_added
1699,1699,02:30:00,N,17,1636.667,H20,no_phos,IVT-B1,,b,target_added
1700,1700,02:30:00,O,17,8.554,r17Ar3C,no_gRNA,B1-no_gRNA,,b,no_target
1701,1701,02:30:00,G,19,148.269,standard,standard,standard,0.0195312,a,standard
1702,1702,02:30:00,H,19,122.607,standard,standard,standard,0.0195312,b,standard
1703,1703,02:30:00,I,19,3142.172,r17Ar3C,no_phos,IVT-H6,,a,target_added
1704,1704,02:30:00,J,19,2626.08,r17Ar3C,no_phos,IVT-H6,,b,target_added
1705,1705,02:30:00,K,19,1782.085,r17Ar3C,no_phos,IVT-H6,,a,no_target
1706,1706,02:30:00,L,19,1861.922,r17Ar3C,no_phos,IVT-H6,,b,no_target
1707,1707,02:30:00,M,19,1844.814,H20,no_phos,IVT-H6,,a,target_added
1708,1708,02:30:00,N,19,1981.678,H20,no_phos,IVT-H6,,b,target_added
1709,1709,02:30:00,O,19,11.405,r17Ar3C,no_gRNA,H6-no_gRNA,,b,no_target
1710,1710,02:30:00,G,21,85.54,standard,standard,standard,0.0097656,a,standard
1711,1711,02:30:00,H,21,88.391,standard,standard,standard,0.0097656,b,standard
1712,1712,02:30:00,I,21,2175.569,r17Ar3C,no_phos,IVT-G8,,a,target_added
1713,1713,02:30:00,J,21,1762.125,r17Ar3C,no_phos,IVT-G8,,b,target_added
1714,1714,02:30:00,K,21,1810.598,r17Ar3C,no_phos,IVT-G8,,a,no_target
1715,1715,02:30:00,L,21,2024.448,r17Ar3C,no_phos,IVT-G8,,b,no_target
1716,1716,02:30:00,M,21,1930.354,H20,no_phos,IVT-G8,,a,target_added
1717,1717,02:30:00,N,21,1896.138,H20,no_phos,IVT-G8,,b,target_added
1718,1718,02:30:00,O,21,11.405,r17Ar3C,no_gRNA,G8-no_gRNA,,b,no_target
1719,1719,02:30:00,G,23,353.566,standard,standard,standard,0,a,standard
1720,1720,02:30:00,H,23,139.715,standard,standard,standard,0,b,standard
1721,1721,02:30:00,I,23,2777.201,r17Ar3C,no_phos,IVT-C4,,a,target_added
1722,1722,02:30:00,J,23,2472.108,r17Ar3C,no_phos,IVT-C4,,b,target_added
1723,1723,02:30:00,K,23,1123.4260000000004,r17Ar3C,no_phos,IVT-C4,,a,no_target
1724,1724,02:30:00,L,23,1228.9260000000004,r17Ar3C,no_phos,IVT-C4,,b,no_target
1725,1725,02:30:00,M,23,1414.2620000000004,H20,no_phos,IVT-C4,,a,target_added
1726,1726,02:30:00,N,23,1417.114,H20,no_phos,IVT-C4,,b,target_added
1727,1727,02:30:00,O,23,11.405,r17Ar3C,no_gRNA,C4-no_gRNA,,b,no_target
1728,1728,02:40:00,G,1,5356.933000000001,standard,standard,standard,10,a,standard
1729,1729,02:40:00,H,1,4566.379,standard,standard,standard,10,b,standard
1730,1730,02:40:00,I,1,1980.667,r17Ar3C,phos,syn-C11,,a,target_added
1731,1731,02:40:00,J,1,2174.738,r17Ar3C,phos,syn-C11,,b,target_added
1732,1732,02:40:00,K,1,65.642,r17Ar3C,phos,syn-C11,,a,no_target
1733,1733,02:40:00,L,1,59.934,r17Ar3C,phos,syn-C11,,b,no_target
1734,1734,02:40:00,M,1,499.448,H20,phos,syn-C11,,a,target_added
1735,1735,02:40:00,N,1,462.346,H20,phos,syn-C11,,b,target_added
1736,1736,02:40:00,O,1,0.0,r17Ar3C,no_gRNA,syn-C11_no_gRNA,,a,target_added
1737,1737,02:40:00,G,3,2117.658,standard,standard,standard,5,a,standard
1738,1738,02:40:00,H,3,2485.822,standard,standard,standard,5,b,standard
1739,1739,02:40:00,I,3,2046.308,r17Ar3C,phos,IVT-C11,,a,target_added
1740,1740,02:40:00,J,3,2026.331,r17Ar3C,phos,IVT-C11,,b,target_added
1741,1741,02:40:00,K,3,308.231,r17Ar3C,phos,IVT-C11,,a,no_target
1742,1742,02:40:00,L,3,348.186,r17Ar3C,phos,IVT-C11,,b,no_target
1743,1743,02:40:00,M,3,787.7,H20,phos,IVT-C11,,a,target_added
1744,1744,02:40:00,N,3,645.001,H20,phos,IVT-C11,,b,target_added
1745,1745,02:40:00,O,3,14.27,r17Ar3C,no_gRNA,C11-no_gRNA,,a,target_added
1746,1746,02:40:00,G,5,1170.135,standard,standard,standard,2.5,a,standard
1747,1747,02:40:00,H,5,1338.52,standard,standard,standard,2.5,b,standard
1748,1748,02:40:00,I,5,1309.98,r17Ar3C,phos,IVT-B1,,a,target_added
1749,1749,02:40:00,J,5,1153.011,r17Ar3C,phos,IVT-B1,,b,target_added
1750,1750,02:40:00,K,5,610.753,r17Ar3C,phos,IVT-B1,,a,no_target
1751,1751,02:40:00,L,5,482.324,r17Ar3C,phos,IVT-B1,,b,no_target
1752,1752,02:40:00,M,5,801.97,H20,phos,IVT-B1,,a,target_added
1753,1753,02:40:00,N,5,610.753,H20,phos,IVT-B1,,b,target_added
1754,1754,02:40:00,O,5,22.832,r17Ar3C,no_gRNA,B1-no_gRNA,,a,target_added
1755,1755,02:40:00,G,7,1230.068,standard,standard,standard,1.25,a,standard
1756,1756,02:40:00,H,7,1047.413,standard,standard,standard,1.25,b,standard
1757,1757,02:40:00,I,7,1935.003,r17Ar3C,phos,IVT-H6,,a,target_added
1758,1758,02:40:00,J,7,2060.578,r17Ar3C,phos,IVT-H6,,b,target_added
1759,1759,02:40:00,K,7,833.3639999999998,r17Ar3C,phos,IVT-H6,,a,no_target
1760,1760,02:40:00,L,7,739.183,r17Ar3C,phos,IVT-H6,,b,no_target
1761,1761,02:40:00,M,7,1521.175,H20,phos,IVT-H6,,a,target_added
1762,1762,02:40:00,N,7,1167.281,H20,phos,IVT-H6,,b,target_added
1763,1763,02:40:00,O,7,11.416,r17Ar3C,no_gRNA,H6-no_gRNA,,a,target_added
1764,1764,02:40:00,G,9,413.828,standard,standard,standard,0.625,a,standard
1765,1765,02:40:00,H,9,356.7480000000001,standard,standard,standard,0.625,b,standard
1766,1766,02:40:00,I,9,2622.8140000000008,r17Ar3C,phos,IVT-G8,,a,target_added
1767,1767,02:40:00,J,9,2311.729,r17Ar3C,phos,IVT-G8,,b,target_added
1768,1768,02:40:00,K,9,2220.402,r17Ar3C,phos,IVT-G8,,a,no_target
1769,1769,02:40:00,L,9,2037.746,r17Ar3C,phos,IVT-G8,,b,no_target
1770,1770,02:40:00,M,9,1986.375,H20,phos,IVT-G8,,a,target_added
1771,1771,02:40:00,N,9,1886.485,H20,phos,IVT-G8,,b,target_added
1772,1772,02:40:00,O,9,5.707999999999998,r17Ar3C,no_gRNA,G8-no_gRNA,,a,target_added
1773,1773,02:40:00,G,11,211.195,standard,standard,standard,0.3125,a,standard
1774,1774,02:40:00,H,11,305.377,standard,standard,standard,0.3125,b,standard
1775,1775,02:40:00,I,11,3236.421,r17Ar3C,phos,IVT-C4,,a,target_added
1776,1776,02:40:00,J,11,2928.19,r17Ar3C,phos,IVT-C4,,b,target_added
1777,1777,02:40:00,K,11,331.0619999999999,r17Ar3C,phos,IVT-C4,,a,no_target
1778,1778,02:40:00,L,11,311.085,r17Ar3C,phos,IVT-C4,,b,no_target
1779,1779,02:40:00,M,11,1389.891,H20,phos,IVT-C4,,a,target_added
1780,1780,02:40:00,N,11,1429.8470000000002,H20,phos,IVT-C4,,b,target_added
1781,1781,02:40:00,O,11,17.124000000000002,r17Ar3C,no_gRNA,C4-no_gRNA,,a,target_added
1782,1782,02:40:00,G,13,108.451,standard,standard,standard,0.15625,a,standard
1783,1783,02:40:00,H,13,176.947,standard,standard,standard,0.15625,b,standard
1784,1784,02:40:00,I,13,2071.994,r17Ar3C,no_phos,syn-C11,,a,target_added
1785,1785,02:40:00,J,13,1609.648,r17Ar3C,no_phos,syn-C11,,b,target_added
1786,1786,02:40:00,K,13,45.664,r17Ar3C,no_phos,syn-C11,,a,no_target
1787,1787,02:40:00,L,13,51.372,r17Ar3C,no_phos,syn-C11,,b,no_target
1788,1788,02:40:00,M,13,139.845,H20,no_phos,syn-C11,,a,target_added
1789,1789,02:40:00,N,13,128.429,H20,no_phos,syn-C11,,b,target_added
1790,1790,02:40:00,O,13,25.686,r17Ar3C,no_gRNA,syn-C11_no_gRNA,,b,no_target
1791,1791,02:40:00,G,15,94.182,standard,standard,standard,0.078125,a,standard
1792,1792,02:40:00,H,15,108.451,standard,standard,standard,0.078125,b,standard
1793,1793,02:40:00,I,15,2739.827,r17Ar3C,no_phos,IVT-C11,,a,target_added
1794,1794,02:40:00,J,15,2343.123,r17Ar3C,no_phos,IVT-C11,,b,target_added
1795,1795,02:40:00,K,15,1075.953,r17Ar3C,no_phos,IVT-C11,,a,no_target
1796,1796,02:40:00,L,15,1078.807,r17Ar3C,no_phos,IVT-C11,,b,no_target
1797,1797,02:40:00,M,15,1207.236,H20,no_phos,IVT-C11,,a,target_added
1798,1798,02:40:00,N,15,1121.617,H20,no_phos,IVT-C11,,b,target_added
1799,1799,02:40:00,O,15,5.707999999999998,r17Ar3C,no_gRNA,C11-no_gRNA,,b,no_target
1800,1800,02:40:00,G,17,111.305,standard,standard,standard,0.0390625,a,standard
1801,1801,02:40:00,H,17,57.08,standard,standard,standard,0.0390625,b,standard
1802,1802,02:40:00,I,17,2571.442,r17Ar3C,no_phos,IVT-B1,,a,target_added
1803,1803,02:40:00,J,17,1740.932,r17Ar3C,no_phos,IVT-B1,,b,target_added
1804,1804,02:40:00,K,17,1521.175,r17Ar3C,no_phos,IVT-B1,,a,no_target
1805,1805,02:40:00,L,17,1446.971,r17Ar3C,no_phos,IVT-B1,,b,no_target
1806,1806,02:40:00,M,17,1398.453,H20,no_phos,IVT-B1,,a,target_added
1807,1807,02:40:00,N,17,1595.379,H20,no_phos,IVT-B1,,b,target_added
1808,1808,02:40:00,O,17,2.854,r17Ar3C,no_gRNA,B1-no_gRNA,,b,no_target
1809,1809,02:40:00,G,19,102.744,standard,standard,standard,0.0195312,a,standard
1810,1810,02:40:00,H,19,122.721,standard,standard,standard,0.0195312,b,standard
1811,1811,02:40:00,I,19,3105.137,r17Ar3C,no_phos,IVT-H6,,a,target_added
1812,1812,02:40:00,J,19,2511.508,r17Ar3C,no_phos,IVT-H6,,b,target_added
1813,1813,02:40:00,K,19,1866.507,r17Ar3C,no_phos,IVT-H6,,a,no_target
1814,1814,02:40:00,L,19,1932.149,r17Ar3C,no_phos,IVT-H6,,b,no_target
1815,1815,02:40:00,M,19,1869.361,H20,no_phos,IVT-H6,,a,target_added
1816,1816,02:40:00,N,19,2017.769,H20,no_phos,IVT-H6,,b,target_added
1817,1817,02:40:00,O,19,14.27,r17Ar3C,no_gRNA,H6-no_gRNA,,b,no_target
1818,1818,02:40:00,G,21,59.934,standard,standard,standard,0.0097656,a,standard
1819,1819,02:40:00,H,21,62.788,standard,standard,standard,0.0097656,b,standard
1820,1820,02:40:00,I,21,2074.848,r17Ar3C,no_phos,IVT-G8,,a,target_added
1821,1821,02:40:00,J,21,1723.808,r17Ar3C,no_phos,IVT-G8,,b,target_added
1822,1822,02:40:00,K,21,1683.852,r17Ar3C,no_phos,IVT-G8,,a,no_target
1823,1823,02:40:00,L,21,2034.892,r17Ar3C,no_phos,IVT-G8,,b,no_target
1824,1824,02:40:00,M,21,2000.645,H20,no_phos,IVT-G8,,a,target_added
1825,1825,02:40:00,N,21,1772.326,H20,no_phos,IVT-G8,,b,target_added
1826,1826,02:40:00,O,21,8.562000000000001,r17Ar3C,no_gRNA,G8-no_gRNA,,b,no_target
1827,1827,02:40:00,G,23,251.151,standard,standard,standard,0,a,standard
1828,1828,02:40:00,H,23,171.239,standard,standard,standard,0,b,standard
1829,1829,02:40:00,I,23,2822.593,r17Ar3C,no_phos,IVT-C4,,a,target_added
1830,1830,02:40:00,J,23,2417.327,r17Ar3C,no_phos,IVT-C4,,b,target_added
1831,1831,02:40:00,K,23,1041.705,r17Ar3C,no_phos,IVT-C4,,a,no_target
1832,1832,02:40:00,L,23,1104.493,r17Ar3C,no_phos,IVT-C4,,b,no_target
1833,1833,02:40:00,M,23,1312.8339999999996,H20,no_phos,IVT-C4,,a,target_added
1834,1834,02:40:00,N,23,1232.922,H20,no_phos,IVT-C4,,b,target_added
1835,1835,02:40:00,O,23,14.27,r17Ar3C,no_gRNA,C4-no_gRNA,,b,no_target
1836,1836,02:50:00,G,1,5335.786999999998,standard,standard,standard,10,a,standard
1837,1837,02:50:00,H,1,4371.351,standard,standard,standard,10,b,standard
1838,1838,02:50:00,I,1,1980.233,r17Ar3C,phos,syn-C11,,a,target_added
1839,1839,02:50:00,J,1,2157.1420000000007,r17Ar3C,phos,syn-C11,,b,target_added
1840,1840,02:50:00,K,1,51.361,r17Ar3C,phos,syn-C11,,a,no_target
1841,1841,02:50:00,L,1,57.067,r17Ar3C,phos,syn-C11,,b,no_target
1842,1842,02:50:00,M,1,439.418,H20,phos,syn-C11,,a,target_added
1843,1843,02:50:00,N,1,339.55,H20,phos,syn-C11,,b,target_added
1844,1844,02:50:00,O,1,14.267,r17Ar3C,no_gRNA,syn-C11_no_gRNA,,a,target_added
1845,1845,02:50:00,G,3,2137.168,standard,standard,standard,5,a,standard
1846,1846,02:50:00,H,3,2188.529,standard,standard,standard,5,b,standard
1847,1847,02:50:00,I,3,1940.286,r17Ar3C,phos,IVT-C11,,a,target_added
1848,1848,02:50:00,J,3,1903.192,r17Ar3C,phos,IVT-C11,,b,target_added
1849,1849,02:50:00,K,3,316.723,r17Ar3C,phos,IVT-C11,,a,no_target
1850,1850,02:50:00,L,3,379.497,r17Ar3C,phos,IVT-C11,,b,no_target
1851,1851,02:50:00,M,3,758.9939999999998,H20,phos,IVT-C11,,a,target_added
1852,1852,02:50:00,N,3,693.367,H20,phos,IVT-C11,,b,target_added
1853,1853,02:50:00,O,3,14.267,r17Ar3C,no_gRNA,C11-no_gRNA,,a,target_added
1854,1854,02:50:00,G,5,1218.385,standard,standard,standard,2.5,a,standard
1855,1855,02:50:00,H,5,1363.9070000000004,standard,standard,standard,2.5,b,standard
1856,1856,02:50:00,I,5,1275.453,r17Ar3C,phos,IVT-B1,,a,target_added
1857,1857,02:50:00,J,5,1192.705,r17Ar3C,phos,IVT-B1,,b,target_added
1858,1858,02:50:00,K,5,544.992,r17Ar3C,phos,IVT-B1,,a,no_target
1859,1859,02:50:00,L,5,599.206,r17Ar3C,phos,IVT-B1,,b,no_target
1860,1860,02:50:00,M,5,681.953,H20,phos,IVT-B1,,a,target_added
1861,1861,02:50:00,N,5,716.194,H20,phos,IVT-B1,,b,target_added
1862,1862,02:50:00,O,5,8.56,r17Ar3C,no_gRNA,B1-no_gRNA,,a,target_added
1863,1863,02:50:00,G,7,1115.665,standard,standard,standard,1.25,a,standard
1864,1864,02:50:00,H,7,1141.345,standard,standard,standard,1.25,b,standard
1865,1865,02:50:00,I,7,1948.846,r17Ar3C,phos,IVT-H6,,a,target_added
1866,1866,02:50:00,J,7,1871.805,r17Ar3C,phos,IVT-H6,,b,target_added
1867,1867,02:50:00,K,7,736.1669999999998,r17Ar3C,phos,IVT-H6,,a,no_target
1868,1868,02:50:00,L,7,753.288,r17Ar3C,phos,IVT-H6,,b,no_target
1869,1869,02:50:00,M,7,1255.479,H20,phos,IVT-H6,,a,target_added
1870,1870,02:50:00,N,7,1238.359,H20,phos,IVT-H6,,b,target_added
1871,1871,02:50:00,O,7,22.827,r17Ar3C,no_gRNA,H6-no_gRNA,,a,target_added
1872,1872,02:50:00,G,9,336.69699999999995,standard,standard,standard,0.625,a,standard
1873,1873,02:50:00,H,9,308.163,standard,standard,standard,0.625,b,standard
1874,1874,02:50:00,I,9,2802.001,r17Ar3C,phos,IVT-G8,,a,target_added
1875,1875,02:50:00,J,9,2285.543,r17Ar3C,phos,IVT-G8,,b,target_added
1876,1876,02:50:00,K,9,2208.502,r17Ar3C,phos,IVT-G8,,a,no_target
1877,1877,02:50:00,L,9,1985.94,r17Ar3C,phos,IVT-G8,,b,no_target
1878,1878,02:50:00,M,9,2114.341,H20,phos,IVT-G8,,a,target_added
1879,1879,02:50:00,N,9,1737.697,H20,phos,IVT-G8,,b,target_added
1880,1880,02:50:00,O,9,22.827,r17Ar3C,no_gRNA,G8-no_gRNA,,a,target_added
1881,1881,02:50:00,G,11,199.735,standard,standard,standard,0.3125,a,standard
1882,1882,02:50:00,H,11,228.269,standard,standard,standard,0.3125,b,standard
1883,1883,02:50:00,I,11,3198.619,r17Ar3C,phos,IVT-C4,,a,target_added
1884,1884,02:50:00,J,11,2813.415,r17Ar3C,phos,IVT-C4,,b,target_added
1885,1885,02:50:00,K,11,313.87,r17Ar3C,phos,IVT-C4,,a,no_target
