,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,gRNA,target,cas12a,hours,minutes,seconds
60,60,00:10:00,A,7,286.454,a,syn_11C,500,NEB-Cas12a,00,10,00
61,61,00:10:00,B,7,34.248000000000005,a,syn_11C,5,NEB-Cas12a,00,10,00
62,62,00:10:00,C,7,423.143,a,syn_11C,500,IDT-Cas12a,00,10,00
63,63,00:10:00,D,7,66.758,a,syn_11C,5,IDT-Cas12a,00,10,00
64,64,00:10:00,A,9,317.339,b,syn_11C,500,NEB-Cas12a,00,10,00
65,65,00:10:00,B,9,34.64,b,syn_11C,5,NEB-Cas12a,00,10,00
66,66,00:10:00,C,9,444.48,b,syn_11C,500,IDT-Cas12a,00,10,00
67,67,00:10:00,D,9,65.32600000000001,b,syn_11C,5,IDT-Cas12a,00,10,00
68,68,00:10:00,A,11,306.634,c,syn_11C,500,NEB-Cas12a,00,10,00
69,69,00:10:00,B,11,33.844,c,syn_11C,5,NEB-Cas12a,00,10,00
70,70,00:10:00,C,11,430.429,c,syn_11C,500,IDT-Cas12a,00,10,00
71,71,00:10:00,D,11,69.069,c,syn_11C,5,IDT-Cas12a,00,10,00
72,72,00:10:00,A,13,248.273,a,alt-R_11C,50,NEB-Cas12a,00,10,00
73,73,00:10:00,B,13,4.137,a,alt-R_11C,0,NEB-Cas12a,00,10,00
74,74,00:10:00,C,13,399.893,a,alt-R_11C,50,IDT-Cas12a,00,10,00
75,75,00:10:00,D,13,4.046,a,alt-R_11C,0,IDT-Cas12a,00,10,00
76,76,00:10:00,A,15,239.666,b,alt-R_11C,50,NEB-Cas12a,00,10,00
77,77,00:10:00,B,15,4.265,b,alt-R_11C,0,NEB-Cas12a,00,10,00
78,78,00:10:00,C,15,389.8,b,alt-R_11C,50,IDT-Cas12a,00,10,00
79,79,00:10:00,D,15,3.995,b,alt-R_11C,0,IDT-Cas12a,00,10,00
80,80,00:10:00,A,17,295.249,c,alt-R_11C,50,NEB-Cas12a,00,10,00
81,81,00:10:00,B,17,4.181,c,alt-R_11C,0,NEB-Cas12a,00,10,00
82,82,00:10:00,C,17,425.749,c,alt-R_11C,50,IDT-Cas12a,00,10,00
83,83,00:10:00,D,17,3.83,c,alt-R_11C,0,IDT-Cas12a,00,10,00
84,84,00:10:00,A,19,226.499,a,syn_11C,50,NEB-Cas12a,00,10,00
85,85,00:10:00,B,19,3.787,a,syn_11C,0,NEB-Cas12a,00,10,00
86,86,00:10:00,C,19,381.477,a,syn_11C,50,IDT-Cas12a,00,10,00
87,87,00:10:00,D,19,3.372,a,syn_11C,0,IDT-Cas12a,00,10,00
88,88,00:10:00,A,21,221.375,b,syn_11C,50,NEB-Cas12a,00,10,00
89,89,00:10:00,B,21,4.255,b,syn_11C,0,NEB-Cas12a,00,10,00
90,90,00:10:00,C,21,371.168,b,syn_11C,50,IDT-Cas12a,00,10,00
91,91,00:10:00,D,21,3.911,b,syn_11C,0,IDT-Cas12a,00,10,00
92,92,00:10:00,A,23,197.654,c,syn_11C,50,NEB-Cas12a,00,10,00
93,93,00:10:00,B,23,4.526,c,syn_11C,0,NEB-Cas12a,00,10,00
94,94,00:10:00,C,23,328.24300000000005,c,syn_11C,50,IDT-Cas12a,00,10,00
95,95,00:10:00,D,23,3.515,c,syn_11C,0,IDT-Cas12a,00,10,00
96,96,00:20:00,A,1,368.31,a,alt-R_11C,500,NEB-Cas12a,00,20,00
97,97,00:20:00,B,1,68.411,a,alt-R_11C,5,NEB-Cas12a,00,20,00
98,98,00:20:00,C,1,418.855,a,alt-R_11C,500,IDT-Cas12a,00,20,00
99,99,00:20:00,D,1,112.791,a,alt-R_11C,5,IDT-Cas12a,00,20,00
100,100,00:20:00,A,3,387.871,b,alt-R_11C,500,NEB-Cas12a,00,20,00
101,101,00:20:00,B,3,76.548,b,alt-R_11C,5,NEB-Cas12a,00,20,00
102,102,00:20:00,C,3,428.927,b,alt-R_11C,500,IDT-Cas12a,00,20,00
103,103,00:20:00,D,3,113.374,b,alt-R_11C,5,IDT-Cas12a,00,20,00
104,104,00:20:00,A,5,394.686,c,alt-R_11C,500,NEB-Cas12a,00,20,00
105,105,00:20:00,B,5,71.718,c,alt-R_11C,5,NEB-Cas12a,00,20,00
106,106,00:20:00,C,5,412.439,c,alt-R_11C,500,IDT-Cas12a,00,20,00
107,107,00:20:00,D,5,153.44,c,alt-R_11C,5,IDT-Cas12a,00,20,00
108,108,00:20:00,A,7,352.06,a,syn_11C,500,NEB-Cas12a,00,20,00
109,109,00:20:00,B,7,59.274,a,syn_11C,5,NEB-Cas12a,00,20,00
110,110,00:20:00,C,7,402.783,a,syn_11C,500,IDT-Cas12a,00,20,00
111,111,00:20:00,D,7,122.289,a,syn_11C,5,IDT-Cas12a,00,20,00
112,112,00:20:00,A,9,388.734,b,syn_11C,500,NEB-Cas12a,00,20,00
113,113,00:20:00,B,9,61.276,b,syn_11C,5,NEB-Cas12a,00,20,00
114,114,00:20:00,C,9,431.647,b,syn_11C,500,IDT-Cas12a,00,20,00
115,115,00:20:00,D,9,118.285,b,syn_11C,5,IDT-Cas12a,00,20,00
116,116,00:20:00,A,11,372.867,c,syn_11C,500,NEB-Cas12a,00,20,00
117,117,00:20:00,B,11,58.26,c,syn_11C,5,NEB-Cas12a,00,20,00
118,118,00:20:00,C,11,415.864,c,syn_11C,500,IDT-Cas12a,00,20,00
119,119,00:20:00,D,11,126.518,c,syn_11C,5,IDT-Cas12a,00,20,00
120,120,00:20:00,A,13,358.66,a,alt-R_11C,50,NEB-Cas12a,00,20,00
121,121,00:20:00,B,13,3.925,a,alt-R_11C,0,NEB-Cas12a,00,20,00
122,122,00:20:00,C,13,417.614,a,alt-R_11C,50,IDT-Cas12a,00,20,00
123,123,00:20:00,D,13,4.038,a,alt-R_11C,0,IDT-Cas12a,00,20,00
124,124,00:20:00,A,15,351.869,b,alt-R_11C,50,NEB-Cas12a,00,20,00
125,125,00:20:00,B,15,4.235,b,alt-R_11C,0,NEB-Cas12a,00,20,00
126,126,00:20:00,C,15,405.515,b,alt-R_11C,50,IDT-Cas12a,00,20,00
127,127,00:20:00,D,15,4.072,b,alt-R_11C,0,IDT-Cas12a,00,20,00
128,128,00:20:00,A,17,393.995,c,alt-R_11C,50,NEB-Cas12a,00,20,00
129,129,00:20:00,B,17,3.934,c,alt-R_11C,0,NEB-Cas12a,00,20,00
