,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,gRNA_used,replicate,reporter
415,415,02:50:00,B,7,18.543,target_added,none,b,DNA-FAM
416,416,02:50:00,A,9,18.931,no_cas12a,syn_11C,a,DNA-FAM
417,417,02:50:00,B,9,19.489,no_cas12a,syn_11C,b,DNA-FAM
418,418,02:50:00,A,11,18.265,no_cas12a,IVT_11C,a,DNA-FAM
419,419,02:50:00,B,11,19.314,no_cas12a,IVT_11C,b,DNA-FAM
420,420,02:50:00,A,13,19.666,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
421,421,02:50:00,B,13,20.015,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
422,422,02:50:00,A,15,18.908,no_cas12a,none,a,DNA-FAM
423,423,02:50:00,B,15,19.747,no_cas12a,none,b,DNA-FAM
424,424,02:50:00,A,17,19.742,no_target,syn_11C,a,DNA-FAM
425,425,02:50:00,B,17,18.567,no_target,syn_11C,b,DNA-FAM
426,426,02:50:00,A,19,19.614,no_target,IVT_11C,a,DNA-FAM
427,427,02:50:00,B,19,18.711,no_target,IVT_11C,b,DNA-FAM
428,428,02:50:00,A,21,19.106,no_target,IVT_D9_3Cs,a,DNA-FAM
429,429,02:50:00,B,21,20.254,no_target,IVT_D9_3Cs,b,DNA-FAM
430,430,02:50:00,A,23,20.031,no_target,none,a,DNA-FAM
431,431,02:50:00,B,23,24.309,no_target,none,b,DNA-FAM
432,432,03:00:00,A,1,366.043,target_added,syn_11C,a,DNA-FAM
433,433,03:00:00,B,1,371.55300000000005,target_added,syn_11C,b,DNA-FAM
434,434,03:00:00,A,3,815.941,target_added,IVT_11C,a,DNA-FAM
435,435,03:00:00,B,3,1048.838,target_added,IVT_11C,b,DNA-FAM
436,436,03:00:00,A,5,1822.598,target_added,IVT_D9_3Cs,a,DNA-FAM
437,437,03:00:00,B,5,1798.707,target_added,IVT_D9_3Cs,b,DNA-FAM
438,438,03:00:00,A,7,18.297,target_added,none,a,DNA-FAM
439,439,03:00:00,B,7,19.192,target_added,none,b,DNA-FAM
440,440,03:00:00,A,9,19.597,no_cas12a,syn_11C,a,DNA-FAM
441,441,03:00:00,B,9,19.787,no_cas12a,syn_11C,b,DNA-FAM
442,442,03:00:00,A,11,18.29,no_cas12a,IVT_11C,a,DNA-FAM
443,443,03:00:00,B,11,19.793,no_cas12a,IVT_11C,b,DNA-FAM
444,444,03:00:00,A,13,20.524,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
445,445,03:00:00,B,13,20.622,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
446,446,03:00:00,A,15,19.427,no_cas12a,none,a,DNA-FAM
447,447,03:00:00,B,15,19.408,no_cas12a,none,b,DNA-FAM
448,448,03:00:00,A,17,20.132,no_target,syn_11C,a,DNA-FAM
449,449,03:00:00,B,17,19.636,no_target,syn_11C,b,DNA-FAM
450,450,03:00:00,A,19,19.231,no_target,IVT_11C,a,DNA-FAM
451,451,03:00:00,B,19,19.447,no_target,IVT_11C,b,DNA-FAM
452,452,03:00:00,A,21,19.93,no_target,IVT_D9_3Cs,a,DNA-FAM
453,453,03:00:00,B,21,20.905,no_target,IVT_D9_3Cs,b,DNA-FAM
454,454,03:00:00,A,23,20.771,no_target,none,a,DNA-FAM
455,455,03:00:00,B,23,25.147,no_target,none,b,DNA-FAM
456,456,03:10:00,A,1,401.75,target_added,syn_11C,a,DNA-FAM
457,457,03:10:00,B,1,408.73800000000006,target_added,syn_11C,b,DNA-FAM
458,458,03:10:00,A,3,876.193,target_added,IVT_11C,a,DNA-FAM
459,459,03:10:00,B,3,1115.644,target_added,IVT_11C,b,DNA-FAM
460,460,03:10:00,A,5,1846.789,target_added,IVT_D9_3Cs,a,DNA-FAM
461,461,03:10:00,B,5,1818.008,target_added,IVT_D9_3Cs,b,DNA-FAM
462,462,03:10:00,A,7,19.129,target_added,none,a,DNA-FAM
463,463,03:10:00,B,7,19.535,target_added,none,b,DNA-FAM
464,464,03:10:00,A,9,20.246,no_cas12a,syn_11C,a,DNA-FAM
465,465,03:10:00,B,9,20.118,no_cas12a,syn_11C,b,DNA-FAM
466,466,03:10:00,A,11,18.734,no_cas12a,IVT_11C,a,DNA-FAM
467,467,03:10:00,B,11,19.924,no_cas12a,IVT_11C,b,DNA-FAM
468,468,03:10:00,A,13,20.747,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
469,469,03:10:00,B,13,21.603,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
470,470,03:10:00,A,15,19.895,no_cas12a,none,a,DNA-FAM
471,471,03:10:00,B,15,19.966,no_cas12a,none,b,DNA-FAM
472,472,03:10:00,A,17,20.647,no_target,syn_11C,a,DNA-FAM
473,473,03:10:00,B,17,20.071,no_target,syn_11C,b,DNA-FAM
474,474,03:10:00,A,19,20.793000000000006,no_target,IVT_11C,a,DNA-FAM
475,475,03:10:00,B,19,19.502,no_target,IVT_11C,b,DNA-FAM
476,476,03:10:00,A,21,20.169,no_target,IVT_D9_3Cs,a,DNA-FAM
477,477,03:10:00,B,21,22.179,no_target,IVT_D9_3Cs,b,DNA-FAM
478,478,03:10:00,A,23,20.824,no_target,none,a,DNA-FAM
479,479,03:10:00,B,23,25.742,no_target,none,b,DNA-FAM
480,480,03:20:00,A,1,441.377,target_added,syn_11C,a,DNA-FAM
481,481,03:20:00,B,1,451.079,target_added,syn_11C,b,DNA-FAM
482,482,03:20:00,A,3,941.492,target_added,IVT_11C,a,DNA-FAM
483,483,03:20:00,B,3,1185.501,target_added,IVT_11C,b,DNA-FAM
484,484,03:20:00,A,5,1889.553,target_added,IVT_D9_3Cs,a,DNA-FAM
485,485,03:20:00,B,5,1859.746,target_added,IVT_D9_3Cs,b,DNA-FAM
486,486,03:20:00,A,7,19.254,target_added,none,a,DNA-FAM
487,487,03:20:00,B,7,20.563,target_added,none,b,DNA-FAM
488,488,03:20:00,A,9,20.593000000000004,no_cas12a,syn_11C,a,DNA-FAM
489,489,03:20:00,B,9,21.249,no_cas12a,syn_11C,b,DNA-FAM
490,490,03:20:00,A,11,19.676,no_cas12a,IVT_11C,a,DNA-FAM
491,491,03:20:00,B,11,20.807,no_cas12a,IVT_11C,b,DNA-FAM
492,492,03:20:00,A,13,21.505,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
493,493,03:20:00,B,13,20.935,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
494,494,03:20:00,A,15,21.161,no_cas12a,none,a,DNA-FAM
495,495,03:20:00,B,15,21.064,no_cas12a,none,b,DNA-FAM
496,496,03:20:00,A,17,21.298,no_target,syn_11C,a,DNA-FAM
497,497,03:20:00,B,17,21.117,no_target,syn_11C,b,DNA-FAM
498,498,03:20:00,A,19,21.557,no_target,IVT_11C,a,DNA-FAM
499,499,03:20:00,B,19,20.935,no_target,IVT_11C,b,DNA-FAM
500,500,03:20:00,A,21,21.548,no_target,IVT_D9_3Cs,a,DNA-FAM
501,501,03:20:00,B,21,22.881,no_target,IVT_D9_3Cs,b,DNA-FAM
502,502,03:20:00,A,23,21.718000000000004,no_target,none,a,DNA-FAM
503,503,03:20:00,B,23,26.201,no_target,none,b,DNA-FAM
504,504,03:30:00,A,1,479.165,target_added,syn_11C,a,DNA-FAM
505,505,03:30:00,B,1,489.237,target_added,syn_11C,b,DNA-FAM
506,506,03:30:00,A,3,1001.478,target_added,IVT_11C,a,DNA-FAM
507,507,03:30:00,B,3,1251.681,target_added,IVT_11C,b,DNA-FAM
508,508,03:30:00,A,5,1917.155,target_added,IVT_D9_3Cs,a,DNA-FAM
509,509,03:30:00,B,5,1881.945,target_added,IVT_D9_3Cs,b,DNA-FAM
510,510,03:30:00,A,7,19.955,target_added,none,a,DNA-FAM
511,511,03:30:00,B,7,21.068,target_added,none,b,DNA-FAM
512,512,03:30:00,A,9,21.028,no_cas12a,syn_11C,a,DNA-FAM
513,513,03:30:00,B,9,21.591,no_cas12a,syn_11C,b,DNA-FAM
514,514,03:30:00,A,11,20.431,no_cas12a,IVT_11C,a,DNA-FAM
515,515,03:30:00,B,11,21.374,no_cas12a,IVT_11C,b,DNA-FAM
516,516,03:30:00,A,13,22.07,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
517,517,03:30:00,B,13,22.68,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
518,518,03:30:00,A,15,21.876,no_cas12a,none,a,DNA-FAM
519,519,03:30:00,B,15,21.844,no_cas12a,none,b,DNA-FAM
520,520,03:30:00,A,17,21.638,no_target,syn_11C,a,DNA-FAM
521,521,03:30:00,B,17,20.934,no_target,syn_11C,b,DNA-FAM
522,522,03:30:00,A,19,21.568,no_target,IVT_11C,a,DNA-FAM
523,523,03:30:00,B,19,21.127,no_target,IVT_11C,b,DNA-FAM
524,524,03:30:00,A,21,21.416,no_target,IVT_D9_3Cs,a,DNA-FAM
525,525,03:30:00,B,21,23.218000000000004,no_target,IVT_D9_3Cs,b,DNA-FAM
526,526,03:30:00,A,23,22.232,no_target,none,a,DNA-FAM
527,527,03:30:00,B,23,27.809,no_target,none,b,DNA-FAM
528,528,03:40:00,A,1,516.648,target_added,syn_11C,a,DNA-FAM
529,529,03:40:00,B,1,530.096,target_added,syn_11C,b,DNA-FAM
530,530,03:40:00,A,3,1066.822,target_added,IVT_11C,a,DNA-FAM
531,531,03:40:00,B,3,1312.608,target_added,IVT_11C,b,DNA-FAM
532,532,03:40:00,A,5,1954.985,target_added,IVT_D9_3Cs,a,DNA-FAM
533,533,03:40:00,B,5,1918.914,target_added,IVT_D9_3Cs,b,DNA-FAM
534,534,03:40:00,A,7,20.666,target_added,none,a,DNA-FAM
535,535,03:40:00,B,7,22.142,target_added,none,b,DNA-FAM
536,536,03:40:00,A,9,21.849,no_cas12a,syn_11C,a,DNA-FAM
537,537,03:40:00,B,9,22.284,no_cas12a,syn_11C,b,DNA-FAM
538,538,03:40:00,A,11,21.284,no_cas12a,IVT_11C,a,DNA-FAM
539,539,03:40:00,B,11,22.487,no_cas12a,IVT_11C,b,DNA-FAM
540,540,03:40:00,A,13,22.331,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
541,541,03:40:00,B,13,22.847,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
542,542,03:40:00,A,15,21.805,no_cas12a,none,a,DNA-FAM
543,543,03:40:00,B,15,22.603,no_cas12a,none,b,DNA-FAM
544,544,03:40:00,A,17,22.883000000000006,no_target,syn_11C,a,DNA-FAM
545,545,03:40:00,B,17,21.76,no_target,syn_11C,b,DNA-FAM
546,546,03:40:00,A,19,22.638,no_target,IVT_11C,a,DNA-FAM
547,547,03:40:00,B,19,22.191,no_target,IVT_11C,b,DNA-FAM
548,548,03:40:00,A,21,22.281,no_target,IVT_D9_3Cs,a,DNA-FAM
549,549,03:40:00,B,21,24.444000000000006,no_target,IVT_D9_3Cs,b,DNA-FAM
550,550,03:40:00,A,23,22.527,no_target,none,a,DNA-FAM
551,551,03:40:00,B,23,28.475,no_target,none,b,DNA-FAM
552,552,03:50:00,A,1,552.097,target_added,syn_11C,a,DNA-FAM
553,553,03:50:00,B,1,566.922,target_added,syn_11C,b,DNA-FAM
554,554,03:50:00,A,3,1115.365,target_added,IVT_11C,a,DNA-FAM
555,555,03:50:00,B,3,1359.059,target_added,IVT_11C,b,DNA-FAM
556,556,03:50:00,A,5,1966.782,target_added,IVT_D9_3Cs,a,DNA-FAM
557,557,03:50:00,B,5,1927.964,target_added,IVT_D9_3Cs,b,DNA-FAM
558,558,03:50:00,A,7,21.31,target_added,none,a,DNA-FAM
559,559,03:50:00,B,7,22.78,target_added,none,b,DNA-FAM
560,560,03:50:00,A,9,21.982,no_cas12a,syn_11C,a,DNA-FAM
561,561,03:50:00,B,9,23.661,no_cas12a,syn_11C,b,DNA-FAM
562,562,03:50:00,A,11,21.846,no_cas12a,IVT_11C,a,DNA-FAM
563,563,03:50:00,B,11,22.766,no_cas12a,IVT_11C,b,DNA-FAM
564,564,03:50:00,A,13,23.366,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
565,565,03:50:00,B,13,23.491,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
566,566,03:50:00,A,15,23.397,no_cas12a,none,a,DNA-FAM
567,567,03:50:00,B,15,23.649,no_cas12a,none,b,DNA-FAM
568,568,03:50:00,A,17,23.723000000000006,no_target,syn_11C,a,DNA-FAM
569,569,03:50:00,B,17,22.99,no_target,syn_11C,b,DNA-FAM
570,570,03:50:00,A,19,23.178,no_target,IVT_11C,a,DNA-FAM
571,571,03:50:00,B,19,22.46,no_target,IVT_11C,b,DNA-FAM
572,572,03:50:00,A,21,22.689,no_target,IVT_D9_3Cs,a,DNA-FAM
573,573,03:50:00,B,21,24.386,no_target,IVT_D9_3Cs,b,DNA-FAM
574,574,03:50:00,A,23,23.412,no_target,none,a,DNA-FAM
575,575,03:50:00,B,23,29.327,no_target,none,b,DNA-FAM
576,576,04:00:00,A,1,591.288,target_added,syn_11C,a,DNA-FAM
577,577,04:00:00,B,1,608.518,target_added,syn_11C,b,DNA-FAM
578,578,04:00:00,A,3,1170.026,target_added,IVT_11C,a,DNA-FAM
579,579,04:00:00,B,3,1410.318,target_added,IVT_11C,b,DNA-FAM
580,580,04:00:00,A,5,1994.201,target_added,IVT_D9_3Cs,a,DNA-FAM
581,581,04:00:00,B,5,1951.693,target_added,IVT_D9_3Cs,b,DNA-FAM
582,582,04:00:00,A,7,22.839,target_added,none,a,DNA-FAM
583,583,04:00:00,B,7,23.47,target_added,none,b,DNA-FAM
584,584,04:00:00,A,9,22.913,no_cas12a,syn_11C,a,DNA-FAM
585,585,04:00:00,B,9,24.247,no_cas12a,syn_11C,b,DNA-FAM
586,586,04:00:00,A,11,22.54,no_cas12a,IVT_11C,a,DNA-FAM
587,587,04:00:00,B,11,23.822,no_cas12a,IVT_11C,b,DNA-FAM
588,588,04:00:00,A,13,24.22,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
589,589,04:00:00,B,13,24.132,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
590,590,04:00:00,A,15,23.403,no_cas12a,none,a,DNA-FAM
591,591,04:00:00,B,15,24.265,no_cas12a,none,b,DNA-FAM
592,592,04:00:00,A,17,24.517,no_target,syn_11C,a,DNA-FAM
593,593,04:00:00,B,17,23.304,no_target,syn_11C,b,DNA-FAM
594,594,04:00:00,A,19,23.614,no_target,IVT_11C,a,DNA-FAM
595,595,04:00:00,B,19,23.215,no_target,IVT_11C,b,DNA-FAM
596,596,04:00:00,A,21,23.771,no_target,IVT_D9_3Cs,a,DNA-FAM
597,597,04:00:00,B,21,25.931,no_target,IVT_D9_3Cs,b,DNA-FAM
598,598,04:00:00,A,23,24.106,no_target,none,a,DNA-FAM
599,599,04:00:00,B,23,29.74,no_target,none,b,DNA-FAM
600,600,04:10:00,A,1,624.1469999999998,target_added,syn_11C,a,DNA-FAM
601,601,04:10:00,B,1,644.594,target_added,syn_11C,b,DNA-FAM
602,602,04:10:00,A,3,1224.207,target_added,IVT_11C,a,DNA-FAM
603,603,04:10:00,B,3,1461.48,target_added,IVT_11C,b,DNA-FAM
604,604,04:10:00,A,5,2028.548,target_added,IVT_D9_3Cs,a,DNA-FAM
605,605,04:10:00,B,5,1991.819,target_added,IVT_D9_3Cs,b,DNA-FAM
606,606,04:10:00,A,7,22.632,target_added,none,a,DNA-FAM
607,607,04:10:00,B,7,24.768,target_added,none,b,DNA-FAM
608,608,04:10:00,A,9,24.143,no_cas12a,syn_11C,a,DNA-FAM
609,609,04:10:00,B,9,24.849,no_cas12a,syn_11C,b,DNA-FAM
610,610,04:10:00,A,11,23.359,no_cas12a,IVT_11C,a,DNA-FAM
611,611,04:10:00,B,11,23.901,no_cas12a,IVT_11C,b,DNA-FAM
612,612,04:10:00,A,13,25.391,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
613,613,04:10:00,B,13,25.423,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
614,614,04:10:00,A,15,24.149,no_cas12a,none,a,DNA-FAM
615,615,04:10:00,B,15,25.283,no_cas12a,none,b,DNA-FAM
616,616,04:10:00,A,17,24.58,no_target,syn_11C,a,DNA-FAM
617,617,04:10:00,B,17,24.587,no_target,syn_11C,b,DNA-FAM
618,618,04:10:00,A,19,24.462,no_target,IVT_11C,a,DNA-FAM
619,619,04:10:00,B,19,23.927,no_target,IVT_11C,b,DNA-FAM
620,620,04:10:00,A,21,24.502,no_target,IVT_D9_3Cs,a,DNA-FAM
621,621,04:10:00,B,21,26.038,no_target,IVT_D9_3Cs,b,DNA-FAM
622,622,04:10:00,A,23,24.555,no_target,none,a,DNA-FAM
623,623,04:10:00,B,23,31.146,no_target,none,b,DNA-FAM
624,624,04:20:00,A,1,658.6489999999999,target_added,syn_11C,a,DNA-FAM
625,625,04:20:00,B,1,673.095,target_added,syn_11C,b,DNA-FAM
626,626,04:20:00,A,3,1256.0,target_added,IVT_11C,a,DNA-FAM
627,627,04:20:00,B,3,1498.12,target_added,IVT_11C,b,DNA-FAM
628,628,04:20:00,A,5,2037.961,target_added,IVT_D9_3Cs,a,DNA-FAM
629,629,04:20:00,B,5,2004.056,target_added,IVT_D9_3Cs,b,DNA-FAM
630,630,04:20:00,A,7,23.176,target_added,none,a,DNA-FAM
631,631,04:20:00,B,7,25.69,target_added,none,b,DNA-FAM
632,632,04:20:00,A,9,24.743,no_cas12a,syn_11C,a,DNA-FAM
633,633,04:20:00,B,9,26.289,no_cas12a,syn_11C,b,DNA-FAM
634,634,04:20:00,A,11,23.788,no_cas12a,IVT_11C,a,DNA-FAM
635,635,04:20:00,B,11,25.369,no_cas12a,IVT_11C,b,DNA-FAM
636,636,04:20:00,A,13,25.541,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
637,637,04:20:00,B,13,26.401,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
638,638,04:20:00,A,15,24.872,no_cas12a,none,a,DNA-FAM
639,639,04:20:00,B,15,25.741,no_cas12a,none,b,DNA-FAM
640,640,04:20:00,A,17,25.548,no_target,syn_11C,a,DNA-FAM
641,641,04:20:00,B,17,25.131,no_target,syn_11C,b,DNA-FAM
642,642,04:20:00,A,19,25.263,no_target,IVT_11C,a,DNA-FAM
643,643,04:20:00,B,19,24.293000000000006,no_target,IVT_11C,b,DNA-FAM
644,644,04:20:00,A,21,25.159,no_target,IVT_D9_3Cs,a,DNA-FAM
645,645,04:20:00,B,21,27.267,no_target,IVT_D9_3Cs,b,DNA-FAM
646,646,04:20:00,A,23,25.535,no_target,none,a,DNA-FAM
647,647,04:20:00,B,23,31.595,no_target,none,b,DNA-FAM
648,648,04:30:00,A,1,693.475,target_added,syn_11C,a,DNA-FAM
649,649,04:30:00,B,1,710.998,target_added,syn_11C,b,DNA-FAM
650,650,04:30:00,A,3,1305.126,target_added,IVT_11C,a,DNA-FAM
651,651,04:30:00,B,3,1544.418,target_added,IVT_11C,b,DNA-FAM
652,652,04:30:00,A,5,2075.327,target_added,IVT_D9_3Cs,a,DNA-FAM
653,653,04:30:00,B,5,2021.25,target_added,IVT_D9_3Cs,b,DNA-FAM
654,654,04:30:00,A,7,24.589,target_added,none,a,DNA-FAM
655,655,04:30:00,B,7,26.252,target_added,none,b,DNA-FAM
656,656,04:30:00,A,9,25.963,no_cas12a,syn_11C,a,DNA-FAM
657,657,04:30:00,B,9,27.134,no_cas12a,syn_11C,b,DNA-FAM
658,658,04:30:00,A,11,24.617,no_cas12a,IVT_11C,a,DNA-FAM
659,659,04:30:00,B,11,26.617,no_cas12a,IVT_11C,b,DNA-FAM
660,660,04:30:00,A,13,27.067,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
661,661,04:30:00,B,13,27.227,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
662,662,04:30:00,A,15,26.225,no_cas12a,none,a,DNA-FAM
663,663,04:30:00,B,15,27.125,no_cas12a,none,b,DNA-FAM
664,664,04:30:00,A,17,26.594,no_target,syn_11C,a,DNA-FAM
665,665,04:30:00,B,17,26.609,no_target,syn_11C,b,DNA-FAM
666,666,04:30:00,A,19,25.977,no_target,IVT_11C,a,DNA-FAM
667,667,04:30:00,B,19,25.314,no_target,IVT_11C,b,DNA-FAM
668,668,04:30:00,A,21,26.009,no_target,IVT_D9_3Cs,a,DNA-FAM
669,669,04:30:00,B,21,28.458,no_target,IVT_D9_3Cs,b,DNA-FAM
670,670,04:30:00,A,23,26.103,no_target,none,a,DNA-FAM
671,671,04:30:00,B,23,32.685,no_target,none,b,DNA-FAM
672,672,04:40:00,A,1,726.5139999999999,target_added,syn_11C,a,DNA-FAM
673,673,04:40:00,B,1,747.1419999999998,target_added,syn_11C,b,DNA-FAM
674,674,04:40:00,A,3,1345.559,target_added,IVT_11C,a,DNA-FAM
675,675,04:40:00,B,3,1580.803,target_added,IVT_11C,b,DNA-FAM
676,676,04:40:00,A,5,2096.808,target_added,IVT_D9_3Cs,a,DNA-FAM
677,677,04:40:00,B,5,2040.95,target_added,IVT_D9_3Cs,b,DNA-FAM
678,678,04:40:00,A,7,25.995,target_added,none,a,DNA-FAM
679,679,04:40:00,B,7,27.688,target_added,none,b,DNA-FAM
680,680,04:40:00,A,9,26.829,no_cas12a,syn_11C,a,DNA-FAM
681,681,04:40:00,B,9,28.392,no_cas12a,syn_11C,b,DNA-FAM
682,682,04:40:00,A,11,25.817,no_cas12a,IVT_11C,a,DNA-FAM
683,683,04:40:00,B,11,27.362,no_cas12a,IVT_11C,b,DNA-FAM
684,684,04:40:00,A,13,27.502,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
685,685,04:40:00,B,13,27.863000000000003,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
686,686,04:40:00,A,15,27.315,no_cas12a,none,a,DNA-FAM
687,687,04:40:00,B,15,28.332,no_cas12a,none,b,DNA-FAM
688,688,04:40:00,A,17,27.461,no_target,syn_11C,a,DNA-FAM
689,689,04:40:00,B,17,27.202,no_target,syn_11C,b,DNA-FAM
690,690,04:40:00,A,19,26.918000000000006,no_target,IVT_11C,a,DNA-FAM
691,691,04:40:00,B,19,26.977,no_target,IVT_11C,b,DNA-FAM
692,692,04:40:00,A,21,27.358,no_target,IVT_D9_3Cs,a,DNA-FAM
693,693,04:40:00,B,21,29.226,no_target,IVT_D9_3Cs,b,DNA-FAM
694,694,04:40:00,A,23,27.227,no_target,none,a,DNA-FAM
695,695,04:40:00,B,23,33.913000000000004,no_target,none,b,DNA-FAM
696,696,04:50:00,A,1,763.518,target_added,syn_11C,a,DNA-FAM
697,697,04:50:00,B,1,776.727,target_added,syn_11C,b,DNA-FAM
698,698,04:50:00,A,3,1385.09,target_added,IVT_11C,a,DNA-FAM
699,699,04:50:00,B,3,1620.921,target_added,IVT_11C,b,DNA-FAM
700,700,04:50:00,A,5,2129.902,target_added,IVT_D9_3Cs,a,DNA-FAM
701,701,04:50:00,B,5,2072.746,target_added,IVT_D9_3Cs,b,DNA-FAM
702,702,04:50:00,A,7,26.314,target_added,none,a,DNA-FAM
703,703,04:50:00,B,7,29.037,target_added,none,b,DNA-FAM
704,704,04:50:00,A,9,27.525,no_cas12a,syn_11C,a,DNA-FAM
705,705,04:50:00,B,9,29.321,no_cas12a,syn_11C,b,DNA-FAM
706,706,04:50:00,A,11,26.91,no_cas12a,IVT_11C,a,DNA-FAM
707,707,04:50:00,B,11,28.858,no_cas12a,IVT_11C,b,DNA-FAM
708,708,04:50:00,A,13,28.827,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
709,709,04:50:00,B,13,29.07,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
710,710,04:50:00,A,15,28.447,no_cas12a,none,a,DNA-FAM
711,711,04:50:00,B,15,29.517,no_cas12a,none,b,DNA-FAM
712,712,04:50:00,A,17,28.73,no_target,syn_11C,a,DNA-FAM
713,713,04:50:00,B,17,28.991,no_target,syn_11C,b,DNA-FAM
714,714,04:50:00,A,19,27.938,no_target,IVT_11C,a,DNA-FAM
715,715,04:50:00,B,19,28.296,no_target,IVT_11C,b,DNA-FAM
716,716,04:50:00,A,21,27.762,no_target,IVT_D9_3Cs,a,DNA-FAM
717,717,04:50:00,B,21,31.149,no_target,IVT_D9_3Cs,b,DNA-FAM
718,718,04:50:00,A,23,28.307,no_target,none,a,DNA-FAM
719,719,04:50:00,B,23,35.777,no_target,none,b,DNA-FAM
720,720,05:00:00,A,1,791.182,target_added,syn_11C,a,DNA-FAM
721,721,05:00:00,B,1,810.211,target_added,syn_11C,b,DNA-FAM
722,722,05:00:00,A,3,1429.694,target_added,IVT_11C,a,DNA-FAM
723,723,05:00:00,B,3,1651.774,target_added,IVT_11C,b,DNA-FAM
724,724,05:00:00,A,5,2154.754,target_added,IVT_D9_3Cs,a,DNA-FAM
725,725,05:00:00,B,5,2108.828,target_added,IVT_D9_3Cs,b,DNA-FAM
726,726,05:00:00,A,7,27.282,target_added,none,a,DNA-FAM
727,727,05:00:00,B,7,30.338,target_added,none,b,DNA-FAM
728,728,05:00:00,A,9,29.368,no_cas12a,syn_11C,a,DNA-FAM
729,729,05:00:00,B,9,30.969,no_cas12a,syn_11C,b,DNA-FAM
730,730,05:00:00,A,11,28.081,no_cas12a,IVT_11C,a,DNA-FAM
731,731,05:00:00,B,11,29.923,no_cas12a,IVT_11C,b,DNA-FAM
732,732,05:00:00,A,13,29.91,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
733,733,05:00:00,B,13,30.967,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
734,734,05:00:00,A,15,29.838,no_cas12a,none,a,DNA-FAM
735,735,05:00:00,B,15,30.78,no_cas12a,none,b,DNA-FAM
736,736,05:00:00,A,17,30.242,no_target,syn_11C,a,DNA-FAM
737,737,05:00:00,B,17,30.147,no_target,syn_11C,b,DNA-FAM
738,738,05:00:00,A,19,29.679,no_target,IVT_11C,a,DNA-FAM
739,739,05:00:00,B,19,29.491,no_target,IVT_11C,b,DNA-FAM
740,740,05:00:00,A,21,29.649,no_target,IVT_D9_3Cs,a,DNA-FAM
741,741,05:00:00,B,21,32.588,no_target,IVT_D9_3Cs,b,DNA-FAM
742,742,05:00:00,A,23,29.614,no_target,none,a,DNA-FAM
743,743,05:00:00,B,23,37.038,no_target,none,b,DNA-FAM
744,744,05:10:00,A,1,823.096,target_added,syn_11C,a,DNA-FAM
745,745,05:10:00,B,1,833.909,target_added,syn_11C,b,DNA-FAM
746,746,05:10:00,A,3,1458.975,target_added,IVT_11C,a,DNA-FAM
747,747,05:10:00,B,3,1682.7279999999996,target_added,IVT_11C,b,DNA-FAM
748,748,05:10:00,A,5,2185.326,target_added,IVT_D9_3Cs,a,DNA-FAM
749,749,05:10:00,B,5,2118.362,target_added,IVT_D9_3Cs,b,DNA-FAM
750,750,05:10:00,A,7,29.305,target_added,none,a,DNA-FAM
751,751,05:10:00,B,7,32.192,target_added,none,b,DNA-FAM
752,752,05:10:00,A,9,30.855,no_cas12a,syn_11C,a,DNA-FAM
753,753,05:10:00,B,9,32.781,no_cas12a,syn_11C,b,DNA-FAM
754,754,05:10:00,A,11,29.71,no_cas12a,IVT_11C,a,DNA-FAM
755,755,05:10:00,B,11,31.811,no_cas12a,IVT_11C,b,DNA-FAM
756,756,05:10:00,A,13,31.538,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
757,757,05:10:00,B,13,32.434,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
758,758,05:10:00,A,15,30.915,no_cas12a,none,a,DNA-FAM
759,759,05:10:00,B,15,33.168,no_cas12a,none,b,DNA-FAM
760,760,05:10:00,A,17,31.715,no_target,syn_11C,a,DNA-FAM
761,761,05:10:00,B,17,31.796,no_target,syn_11C,b,DNA-FAM
