,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,hours,minutes,seconds
85,00:10:00,C,19,17.672,b,100uL,0.0195312,00,10,00
86,00:10:00,E,19,8.371,a,20uL,0.0195312,00,10,00
87,00:10:00,G,19,18.602,b,20uL,0.0195312,00,10,00
88,00:10:00,A,21,14.881,a,100uL,0.0097656,00,10,00
89,00:10:00,C,21,9.301,b,100uL,0.0097656,00,10,00
90,00:10:00,E,21,15.812,a,20uL,0.0097656,00,10,00
91,00:10:00,G,21,8.371,b,20uL,0.0097656,00,10,00
92,00:10:00,A,23,12.091,a,100uL,0,00,10,00
93,00:10:00,C,23,11.161,b,100uL,0,00,10,00
94,00:10:00,E,23,18.602,a,20uL,0,00,10,00
95,00:10:00,G,23,17.672,b,20uL,0,00,10,00
96,00:20:00,A,1,7418.271,a,100uL,10,00,20,00
97,00:20:00,C,1,11683.801,b,100uL,10,00,20,00
98,00:20:00,E,1,2338.439,a,20uL,10,00,20,00
99,00:20:00,G,1,3249.75,b,20uL,10,00,20,00
100,00:20:00,A,3,7092.737,a,100uL,5,00,20,00
101,00:20:00,C,3,7570.313,b,100uL,5,00,20,00
102,00:20:00,E,3,1263.895,a,20uL,5,00,20,00
103,00:20:00,G,3,1264.828,b,20uL,5,00,20,00
104,00:20:00,A,5,2659.31,a,100uL,2.5,00,20,00
105,00:20:00,C,5,2582.823,b,100uL,2.5,00,20,00
106,00:20:00,E,5,479.441,a,20uL,2.5,00,20,00
107,00:20:00,G,5,443.996,b,20uL,2.5,00,20,00
108,00:20:00,A,7,842.286,a,100uL,1.25,00,20,00
109,00:20:00,C,7,880.529,b,100uL,1.25,00,20,00
110,00:20:00,E,7,142.713,a,20uL,1.25,00,20,00
111,00:20:00,G,7,157.637,b,20uL,1.25,00,20,00
112,00:20:00,A,9,286.359,a,100uL,0.625,00,20,00
113,00:20:00,C,9,288.224,b,100uL,0.625,00,20,00
114,00:20:00,E,9,64.361,a,20uL,0.625,00,20,00
115,00:20:00,G,9,56.899,b,20uL,0.625,00,20,00
116,00:20:00,A,11,87.68,a,100uL,0.3125,00,20,00
117,00:20:00,C,11,108.201,b,100uL,0.3125,00,20,00
118,00:20:00,E,11,20.521,a,20uL,0.3125,00,20,00
119,00:20:00,G,11,27.983,b,20uL,0.3125,00,20,00
120,00:20:00,A,13,47.571,a,100uL,0.15625,00,20,00
121,00:20:00,C,13,27.05,b,100uL,0.15625,00,20,00
122,00:20:00,E,13,20.521,a,20uL,0.15625,00,20,00
123,00:20:00,G,13,24.252,b,20uL,0.15625,00,20,00
124,00:20:00,A,15,23.319,a,100uL,0.078125,00,20,00
125,00:20:00,C,15,17.723,b,100uL,0.078125,00,20,00
126,00:20:00,E,15,29.848,a,20uL,0.078125,00,20,00
127,00:20:00,G,15,16.79,b,20uL,0.078125,00,20,00
128,00:20:00,A,17,15.857,a,100uL,0.0390625,00,20,00
129,00:20:00,C,17,23.319,b,100uL,0.0390625,00,20,00
130,00:20:00,E,17,8.395,a,20uL,0.0390625,00,20,00
131,00:20:00,G,17,30.781,b,20uL,0.0390625,00,20,00
132,00:20:00,A,19,19.588,a,100uL,0.0195312,00,20,00
133,00:20:00,C,19,11.193,b,100uL,0.0195312,00,20,00
134,00:20:00,E,19,13.991,a,20uL,0.0195312,00,20,00
135,00:20:00,G,19,13.059,b,20uL,0.0195312,00,20,00
136,00:20:00,A,21,17.723,a,100uL,0.0097656,00,20,00
137,00:20:00,C,21,22.386,b,100uL,0.0097656,00,20,00
138,00:20:00,E,21,13.059,a,20uL,0.0097656,00,20,00
139,00:20:00,G,21,8.395,b,20uL,0.0097656,00,20,00
140,00:20:00,A,23,26.117,a,100uL,0,00,20,00
141,00:20:00,C,23,17.723,b,100uL,0,00,20,00
142,00:20:00,E,23,10.26,a,20uL,0,00,20,00
143,00:20:00,G,23,17.723,b,20uL,0,00,20,00
144,00:30:00,A,1,8059.802,a,100uL,10,00,30,00
145,00:30:00,C,1,12572.769,b,100uL,10,00,30,00
146,00:30:00,E,1,2470.452,a,20uL,10,00,30,00
147,00:30:00,G,1,3093.671,b,20uL,10,00,30,00
148,00:30:00,A,3,7727.169,a,100uL,5,00,30,00
149,00:30:00,C,3,8101.849,b,100uL,5,00,30,00
150,00:30:00,E,3,1322.121,a,20uL,5,00,30,00
151,00:30:00,G,3,1414.623,b,20uL,5,00,30,00
152,00:30:00,A,5,2899.324,a,100uL,2.5,00,30,00
153,00:30:00,C,5,3030.135,b,100uL,2.5,00,30,00
154,00:30:00,E,5,512.03,a,20uL,2.5,00,30,00
155,00:30:00,G,5,566.223,b,20uL,2.5,00,30,00
156,00:30:00,A,7,1008.176,a,100uL,1.25,00,30,00
157,00:30:00,C,7,976.408,b,100uL,1.25,00,30,00
158,00:30:00,E,7,163.513,a,20uL,1.25,00,30,00
159,00:30:00,G,7,174.726,b,20uL,1.25,00,30,00
160,00:30:00,A,9,321.42,a,100uL,0.625,00,30,00
161,00:30:00,C,9,325.158,b,100uL,0.625,00,30,00
162,00:30:00,E,9,80.355,a,20uL,0.625,00,30,00
163,00:30:00,G,9,83.158,b,20uL,0.625,00,30,00
164,00:30:00,A,11,107.452,a,100uL,0.3125,00,30,00
165,00:30:00,C,11,125.204,b,100uL,0.3125,00,30,00
166,00:30:00,E,11,30.834,a,20uL,0.3125,00,30,00
167,00:30:00,G,11,32.703,b,20uL,0.3125,00,30,00
168,00:30:00,A,13,41.112,a,100uL,0.15625,00,30,00
169,00:30:00,C,13,43.915,b,100uL,0.15625,00,30,00
170,00:30:00,E,13,14.015,a,20uL,0.15625,00,30,00
171,00:30:00,G,13,37.374,b,20uL,0.15625,00,30,00
172,00:30:00,A,15,28.031,a,100uL,0.078125,00,30,00
173,00:30:00,C,15,32.703,b,100uL,0.078125,00,30,00
174,00:30:00,E,15,18.687,a,20uL,0.078125,00,30,00
175,00:30:00,G,15,10.278,b,20uL,0.078125,00,30,00
176,00:30:00,A,17,14.95,a,100uL,0.0390625,00,30,00
177,00:30:00,C,17,15.884,b,100uL,0.0390625,00,30,00
178,00:30:00,E,17,17.753,a,20uL,0.0390625,00,30,00
179,00:30:00,G,17,13.081,b,20uL,0.0390625,00,30,00
180,00:30:00,A,19,28.031,a,100uL,0.0195312,00,30,00
181,00:30:00,C,19,11.212,b,100uL,0.0195312,00,30,00
182,00:30:00,E,19,12.147,a,20uL,0.0195312,00,30,00
183,00:30:00,G,19,20.556,b,20uL,0.0195312,00,30,00
184,00:30:00,A,21,14.95,a,100uL,0.0097656,00,30,00
185,00:30:00,C,21,14.015,b,100uL,0.0097656,00,30,00
186,00:30:00,E,21,25.228,a,20uL,0.0097656,00,30,00
187,00:30:00,G,21,14.015,b,20uL,0.0097656,00,30,00
188,00:30:00,A,23,11.212,a,100uL,0,00,30,00
189,00:30:00,C,23,19.622,b,100uL,0,00,30,00
