,PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,Unnamed: 17,replicate,standard_conc,kit,sample_set,row_384,column_384
206,1,1.0,"=""=""""""""""""""""",1.0,E08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:20.307,7360.0,0.1,73600.0,,,water,water,water,water,E,08
208,1,1.0,"=""=""""""""""""""""",1.0,E09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:20.501,15896.0,0.1,158960.0,,,c,0.6125,AMP,AMP_standard,E,09
210,1,1.0,"=""=""""""""""""""""",1.0,E10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:20.695,3576.0,0.1,35760.0,,,water,water,water,water,E,10
212,1,1.0,"=""=""""""""""""""""",1.0,E11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:20.888,8424.0,0.1,84240.0,,,c,0.3125,AMP,AMP_standard,E,11
214,1,1.0,"=""=""""""""""""""""",1.0,E12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:21.083,1752.0,0.1,17520.0,,,water,water,water,water,E,12
216,1,1.0,"=""=""""""""""""""""",1.0,E13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:21.277,5460.0,0.1,54600.0,,,c,0.15625,AMP,AMP_standard,E,13
218,1,1.0,"=""=""""""""""""""""",1.0,E14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:21.470,1128.0,0.1,11280.0,,,water,water,water,water,E,14
220,1,1.0,"=""=""""""""""""""""",1.0,E15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:21.663,3828.0,0.1,38280.0,,,c,0.078125,AMP,AMP_standard,E,15
222,1,1.0,"=""=""""""""""""""""",1.0,E16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:21.857,716.0,0.1,7160.0,,,water,water,water,water,E,16
224,1,1.0,"=""=""""""""""""""""",1.0,E17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:22.050,2616.0,0.1,26160.0,,,c,0.0390625,AMP,AMP_standard,E,17
226,1,1.0,"=""=""""""""""""""""",1.0,E18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:22.244,568.0,0.1,5680.0,,,water,water,water,water,E,18
228,1,1.0,"=""=""""""""""""""""",1.0,E19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:22.438,2548.0,0.1,25480.0,,,c,0.0195312,AMP,AMP_standard,E,19
230,1,1.0,"=""=""""""""""""""""",1.0,E20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:22.632,512.0,0.1,5120.0,,,water,water,water,water,E,20
232,1,1.0,"=""=""""""""""""""""",1.0,E21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:22.826,3372.0,0.1,33720.0,,,c,0.0097656,AMP,AMP_standard,E,21
234,1,1.0,"=""=""""""""""""""""",1.0,E22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:23.018,452.0,0.1,4520.0,,,water,water,water,water,E,22
236,1,1.0,"=""=""""""""""""""""",1.0,E23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:23.212,2512.0,0.1,25120.0,,,c,0,AMP,AMP_standard,E,23
238,1,1.0,"=""=""""""""""""""""",1.0,E24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:23.406,304.0,0.1,3040.0,,,water,water,water,water,E,24
240,1,1.0,"=""=""""""""""""""""",1.0,F01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:28.120,9440.0,0.1,94400.0,,,c,0,AMP,AMP_0_proximal,F,01
242,1,1.0,"=""=""""""""""""""""",1.0,F02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:27.927,2368.0,0.1,23680.0,,,water,water,water,water,F,02
244,1,1.0,"=""=""""""""""""""""",1.0,F03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:27.732,5772.0,0.1,57720.0,,,c,0,AMP,AMP_0_proximal,F,03
246,1,1.0,"=""=""""""""""""""""",1.0,F04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:27.538,2568.0,0.1,25680.0,,,water,water,water,water,F,04
248,1,1.0,"=""=""""""""""""""""",1.0,F05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:27.345,6384.0,0.1,63840.0,,,c,0,AMP,AMP_0_proximal,F,05
250,1,1.0,"=""=""""""""""""""""",1.0,F06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:27.151,6048.0,0.1,60480.0,,,water,water,water,water,F,06
252,1,1.0,"=""=""""""""""""""""",1.0,F07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:26.958,6720.0,0.1,67200.0,,,c,0,AMP,AMP_0_proximal,F,07
254,1,1.0,"=""=""""""""""""""""",1.0,F08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:26.765,4200.0,0.1,42000.0,,,water,water,water,water,F,08
256,1,1.0,"=""=""""""""""""""""",1.0,F09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:26.571,5032.0,0.1,50320.0,,,c,0,AMP,AMP_0_proximal,F,09
258,1,1.0,"=""=""""""""""""""""",1.0,F10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:26.377,2320.0,0.1,23200.0,,,water,water,water,water,F,10
260,1,1.0,"=""=""""""""""""""""",1.0,F11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:26.183,3392.0,0.1,33920.0,,,c,0,AMP,AMP_0_proximal,F,11
262,1,1.0,"=""=""""""""""""""""",1.0,F12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:25.990,1296.0,0.1,12960.0,,,water,water,water,water,F,12
264,1,1.0,"=""=""""""""""""""""",1.0,F13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:25.796,2480.0,0.1,24800.0,,,c,0,AMP,AMP_0_proximal,F,13
266,1,1.0,"=""=""""""""""""""""",1.0,F14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:25.602,752.0,0.1,7520.0,,,water,water,water,water,F,14
268,1,1.0,"=""=""""""""""""""""",1.0,F15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:25.408,2504.0,0.1,25040.0,,,c,0,AMP,AMP_0_proximal,F,15
270,1,1.0,"=""=""""""""""""""""",1.0,F16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:25.214,576.0,0.1,5760.0,,,water,water,water,water,F,16
272,1,1.0,"=""=""""""""""""""""",1.0,F17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:25.020,2168.0,0.1,21680.0,,,c,0,AMP,AMP_0_proximal,F,17
274,1,1.0,"=""=""""""""""""""""",1.0,F18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:24.826,496.0,0.1,4960.0,,,water,water,water,water,F,18
276,1,1.0,"=""=""""""""""""""""",1.0,F19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:24.633,2572.0,0.1,25720.0,,,c,0,AMP,AMP_0_proximal,F,19
278,1,1.0,"=""=""""""""""""""""",1.0,F20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:24.439,472.0,0.1,4720.0,,,water,water,water,water,F,20
280,1,1.0,"=""=""""""""""""""""",1.0,F21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:24.246,2508.0,0.1,25080.0,,,c,0,AMP,AMP_0_proximal,F,21
282,1,1.0,"=""=""""""""""""""""",1.0,F22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:24.052,420.0,0.1,4200.0,,,water,water,water,water,F,22
284,1,1.0,"=""=""""""""""""""""",1.0,F23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:23.858,2060.0,0.1,20600.0,,,c,0,AMP,AMP_0_proximal,F,23
286,1,1.0,"=""=""""""""""""""""",1.0,F24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:23.666,248.0,0.1,2480.0,,,water,water,water,water,F,24
288,1,1.0,"=""=""""""""""""""""",1.0,G01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:28.379,636.0,0.1,6360.0,,,water,water,water,water,G,01
290,1,1.0,"=""=""""""""""""""""",1.0,G02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:28.573,424.0,0.1,4240.0,,,water,water,water,water,G,02
292,1,1.0,"=""=""""""""""""""""",1.0,G03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:28.766,544.0,0.1,5440.0,,,water,water,water,water,G,03
294,1,1.0,"=""=""""""""""""""""",1.0,G04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:28.960,672.0,0.1,6720.0,,,water,water,water,water,G,04
296,1,1.0,"=""=""""""""""""""""",1.0,G05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:29.153,2220.0,0.1,22200.0,,,water,water,water,water,G,05
298,1,1.0,"=""=""""""""""""""""",1.0,G06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:29.347,3868.0,0.1,38680.0,,,water,water,water,water,G,06
300,1,1.0,"=""=""""""""""""""""",1.0,G07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:29.541,3116.0,0.1,31160.0,,,water,water,water,water,G,07
302,1,1.0,"=""=""""""""""""""""",1.0,G08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:29.735,3036.0,0.1,30360.0,,,water,water,water,water,G,08
304,1,1.0,"=""=""""""""""""""""",1.0,G09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:29.929,2156.0,0.1,21560.0,,,water,water,water,water,G,09
306,1,1.0,"=""=""""""""""""""""",1.0,G10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:30.122,1660.0,0.1,16600.0,,,water,water,water,water,G,10
308,1,1.0,"=""=""""""""""""""""",1.0,G11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:30.315,1172.0,0.1,11720.0,,,water,water,water,water,G,11
310,1,1.0,"=""=""""""""""""""""",1.0,G12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:30.509,916.0,0.1,9160.0,,,water,water,water,water,G,12
312,1,1.0,"=""=""""""""""""""""",1.0,G13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:30.703,664.0,0.1,6640.0,,,water,water,water,water,G,13
314,1,1.0,"=""=""""""""""""""""",1.0,G14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:30.898,520.0,0.1,5200.0,,,water,water,water,water,G,14
316,1,1.0,"=""=""""""""""""""""",1.0,G15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:31.091,392.0,0.1,3920.0,,,water,water,water,water,G,15
318,1,1.0,"=""=""""""""""""""""",1.0,G16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:31.284,336.0,0.1,3360.0,,,water,water,water,water,G,16
320,1,1.0,"=""=""""""""""""""""",1.0,G17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:31.478,260.0,0.1,2600.0,,,water,water,water,water,G,17
322,1,1.0,"=""=""""""""""""""""",1.0,G18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:31.671,240.0,0.1,2400.0,,,water,water,water,water,G,18
324,1,1.0,"=""=""""""""""""""""",1.0,G19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:31.866,196.0,0.1,1960.0,,,water,water,water,water,G,19
326,1,1.0,"=""=""""""""""""""""",1.0,G20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:32.059,220.0,0.1,2200.0,,,water,water,water,water,G,20
328,1,1.0,"=""=""""""""""""""""",1.0,G21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:32.253,208.0,0.1,2080.0,,,water,water,water,water,G,21
330,1,1.0,"=""=""""""""""""""""",1.0,G22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:32.447,156.0,0.1,1560.0,,,water,water,water,water,G,22
332,1,1.0,"=""=""""""""""""""""",1.0,G23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:32.641,164.0,0.1,1640.0,,,water,water,water,water,G,23
334,1,1.0,"=""=""""""""""""""""",1.0,G24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:32.834,136.0,0.1,1360.0,,,water,water,water,water,G,24
336,1,1.0,"=""=""""""""""""""""",1.0,H01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:37.545,7068.0,0.1,70680.0,,,a,10,UMP,UMP_standard,H,01
338,1,1.0,"=""=""""""""""""""""",1.0,H02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:37.352,356.0,0.1,3560.0,,,water,water,water,water,H,02
340,1,1.0,"=""=""""""""""""""""",1.0,H03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:37.158,3468.0,0.1,34680.0,,,a,5,UMP,UMP_standard,H,03
342,1,1.0,"=""=""""""""""""""""",1.0,H04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:36.965,748.0,0.1,7480.0,,,water,water,water,water,H,04
344,1,1.0,"=""=""""""""""""""""",1.0,H05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:36.771,2976.0,0.1,29760.0,,,a,2.5,UMP,UMP_standard,H,05
346,1,1.0,"=""=""""""""""""""""",1.0,H06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:36.577,2548.0,0.1,25480.0,,,water,water,water,water,H,06
348,1,1.0,"=""=""""""""""""""""",1.0,H07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:36.384,2980.0,0.1,29800.0,,,a,1.25,UMP,UMP_standard,H,07
350,1,1.0,"=""=""""""""""""""""",1.0,H08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:36.189,2212.0,0.1,22120.0,,,water,water,water,water,H,08
352,1,1.0,"=""=""""""""""""""""",1.0,H09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:35.996,1984.0,0.1,19840.0,,,a,0.6125,UMP,UMP_standard,H,09
354,1,1.0,"=""=""""""""""""""""",1.0,H10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:35.802,1308.0,0.1,13080.0,,,water,water,water,water,H,10
356,1,1.0,"=""=""""""""""""""""",1.0,H11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:35.608,1184.0,0.1,11840.0,,,a,0.3125,UMP,UMP_standard,H,11
358,1,1.0,"=""=""""""""""""""""",1.0,H12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:35.415,784.0,0.1,7840.0,,,water,water,water,water,H,12
360,1,1.0,"=""=""""""""""""""""",1.0,H13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:35.221,680.0,0.1,6800.0,,,a,0.15625,UMP,UMP_standard,H,13
362,1,1.0,"=""=""""""""""""""""",1.0,H14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:35.027,452.0,0.1,4520.0,,,water,water,water,water,H,14
364,1,1.0,"=""=""""""""""""""""",1.0,H15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:34.834,440.0,0.1,4400.0,,,a,0.078125,UMP,UMP_standard,H,15
366,1,1.0,"=""=""""""""""""""""",1.0,H16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:34.641,308.0,0.1,3080.0,,,water,water,water,water,H,16
368,1,1.0,"=""=""""""""""""""""",1.0,H17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:34.446,264.0,0.1,2640.0,,,a,0.0390625,UMP,UMP_standard,H,17
370,1,1.0,"=""=""""""""""""""""",1.0,H18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:34.253,200.0,0.1,2000.0,,,water,water,water,water,H,18
372,1,1.0,"=""=""""""""""""""""",1.0,H19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:34.059,180.0,0.1,1800.0,,,a,0.0195312,UMP,UMP_standard,H,19
374,1,1.0,"=""=""""""""""""""""",1.0,H20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:33.865,144.0,0.1,1440.0,,,water,water,water,water,H,20
376,1,1.0,"=""=""""""""""""""""",1.0,H21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:33.672,156.0,0.1,1560.0,,,a,0.0097656,UMP,UMP_standard,H,21
378,1,1.0,"=""=""""""""""""""""",1.0,H22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:33.478,108.0,0.1,1080.0,,,water,water,water,water,H,22
380,1,1.0,"=""=""""""""""""""""",1.0,H23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:33.284,112.0,0.1,1120.0,,,a,0,UMP,UMP_standard,H,23
382,1,1.0,"=""=""""""""""""""""",1.0,H24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:33.091,96.0,0.1,960.0,,,water,water,water,water,H,24
384,1,1.0,"=""=""""""""""""""""",1.0,I01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:37.801,328.0,0.1,3280.0,,,water,water,water,UMP_water_proximal,I,01
386,1,1.0,"=""=""""""""""""""""",1.0,I02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:37.995,152.0,0.1,1520.0,,,water,water,water,water,I,02
388,1,1.0,"=""=""""""""""""""""",1.0,I03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:38.189,280.0,0.1,2800.0,,,water,water,water,UMP_water_proximal,I,03
390,1,1.0,"=""=""""""""""""""""",1.0,I04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:38.382,420.0,0.1,4200.0,,,water,water,water,water,I,04
392,1,1.0,"=""=""""""""""""""""",1.0,I05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:38.575,688.0,0.1,6880.0,,,water,water,water,UMP_water_proximal,I,05
394,1,1.0,"=""=""""""""""""""""",1.0,I06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:38.769,1064.0,0.1,10640.0,,,water,water,water,water,I,06
396,1,1.0,"=""=""""""""""""""""",1.0,I07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:38.964,1032.0,0.1,10320.0,,,water,water,water,UMP_water_proximal,I,07
398,1,1.0,"=""=""""""""""""""""",1.0,I08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:39.157,1108.0,0.1,11080.0,,,water,water,water,water,I,08
400,1,1.0,"=""=""""""""""""""""",1.0,I09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:39.351,888.0,0.1,8880.0,,,water,water,water,UMP_water_proximal,I,09
402,1,1.0,"=""=""""""""""""""""",1.0,I10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:39.544,744.0,0.1,7440.0,,,water,water,water,water,I,10
404,1,1.0,"=""=""""""""""""""""",1.0,I11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:39.737,632.0,0.1,6320.0,,,water,water,water,UMP_water_proximal,I,11
406,1,1.0,"=""=""""""""""""""""",1.0,I12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:39.931,540.0,0.1,5400.0,,,water,water,water,water,I,12
408,1,1.0,"=""=""""""""""""""""",1.0,I13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:40.125,408.0,0.1,4080.0,,,water,water,water,UMP_water_proximal,I,13
410,1,1.0,"=""=""""""""""""""""",1.0,I14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:40.319,288.0,0.1,2880.0,,,water,water,water,water,I,14
412,1,1.0,"=""=""""""""""""""""",1.0,I15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:40.512,240.0,0.1,2400.0,,,water,water,water,UMP_water_proximal,I,15
414,1,1.0,"=""=""""""""""""""""",1.0,I16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:40.705,200.0,0.1,2000.0,,,water,water,water,water,I,16
416,1,1.0,"=""=""""""""""""""""",1.0,I17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:40.899,168.0,0.1,1680.0,,,water,water,water,UMP_water_proximal,I,17
418,1,1.0,"=""=""""""""""""""""",1.0,I18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:41.093,160.0,0.1,1600.0,,,water,water,water,water,I,18
420,1,1.0,"=""=""""""""""""""""",1.0,I19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:41.286,120.0,0.1,1200.0,,,water,water,water,UMP_water_proximal,I,19
