,PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,Unnamed: 17,replicate,standard_conc,kit,sample_set,row_384,column_384
46,1,1.0,"=""=""""""""""""""""",1.0,A24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:04.564,324.0,0.1,3240.0,,,water,water,water,water,A,24
48,1,1.0,"=""=""""""""""""""""",1.0,B01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:09.275,19488.0,0.1,194880.0,,,a,0,AMP,AMP_0_proximal,B,01
50,1,1.0,"=""=""""""""""""""""",1.0,B02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:09.081,5012.0,0.1,50120.0,,,water,water,water,water,B,02
52,1,1.0,"=""=""""""""""""""""",1.0,B03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:08.888,11096.0,0.1,110960.0,,,a,0,AMP,AMP_0_proximal,B,03
54,1,1.0,"=""=""""""""""""""""",1.0,B04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:08.694,4060.0,0.1,40600.0,,,water,water,water,water,B,04
56,1,1.0,"=""=""""""""""""""""",1.0,B05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:08.500,9760.0,0.1,97600.0,,,a,0,AMP,AMP_0_proximal,B,05
58,1,1.0,"=""=""""""""""""""""",1.0,B06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:08.307,9696.0,0.1,96960.0,,,water,water,water,water,B,06
60,1,1.0,"=""=""""""""""""""""",1.0,B07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:08.113,8868.0,0.1,88680.0,,,a,0,AMP,AMP_0_proximal,B,07
62,1,1.0,"=""=""""""""""""""""",1.0,B08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:07.919,5916.0,0.1,59160.0,,,water,water,water,water,B,08
64,1,1.0,"=""=""""""""""""""""",1.0,B09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:07.725,5632.0,0.1,56320.0,,,a,0,AMP,AMP_0_proximal,B,09
