,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
307,307,01:00:00,D,10,110.982,no_cas12a,,syn_11C,b,DNA-RNA-Luc
308,308,01:00:00,A,12,233.646,standard,0.3125,standard,a,DNA-RNA-Luc
309,309,01:00:00,B,12,271.613,standard,0.3125,standard,b,DNA-RNA-Luc
310,310,01:00:00,C,12,2012.274,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
311,311,01:00:00,D,12,1688.091,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
312,312,01:00:00,A,14,216.122,standard,0.15625,standard,a,DNA-RNA-Luc
313,313,01:00:00,B,14,169.393,standard,0.15625,standard,b,DNA-RNA-Luc
314,314,01:00:00,C,14,2672.323,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
315,315,01:00:00,D,14,20.444000000000006,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
316,316,01:00:00,A,16,134.346,standard,0.078125,standard,a,DNA-RNA-Luc
317,317,01:00:00,B,16,105.141,standard,0.078125,standard,b,DNA-RNA-Luc
318,318,01:00:00,C,16,148.94899999999996,no_cas12a,,none,a,DNA-RNA-Luc
319,319,01:00:00,D,16,14.603,no_cas12a,,none,b,DNA-RNA-Luc
320,320,01:00:00,A,18,119.743,standard,0.0390625,standard,a,DNA-RNA-Luc
321,321,01:00:00,B,18,110.982,standard,0.0390625,standard,b,DNA-RNA-Luc
322,322,01:00:00,C,18,186.917,no_target,,syn_11C,a,DNA-RNA-Luc
323,323,01:00:00,D,18,110.982,no_target,,syn_11C,b,DNA-RNA-Luc
324,324,01:00:00,A,20,108.061,standard,0.0195312,standard,a,DNA-RNA-Luc
325,325,01:00:00,B,20,122.664,standard,0.0195312,standard,b,DNA-RNA-Luc
326,326,01:00:00,C,20,2269.285,no_target,,IVT_11C,a,DNA-RNA-Luc
327,327,01:00:00,D,20,1615.0770000000002,no_target,,IVT_11C,b,DNA-RNA-Luc
328,328,01:00:00,A,22,148.94899999999996,standard,0.0097656,standard,a,DNA-RNA-Luc
329,329,01:00:00,B,22,102.22,standard,0.0097656,standard,b,DNA-RNA-Luc
330,330,01:00:00,C,22,2593.468,no_target,,IVT_D9_3Cs,a,DNA-RNA-Luc
331,331,01:00:00,D,22,3168.821,no_target,,IVT_D9_3Cs,b,DNA-RNA-Luc
332,332,01:00:00,A,24,113.902,standard,0,standard,a,DNA-RNA-Luc
333,333,01:00:00,B,24,58.411,standard,0,standard,b,DNA-RNA-Luc
334,334,01:00:00,C,24,257.01,no_target,,none,a,DNA-RNA-Luc
335,335,01:00:00,D,24,134.346,no_target,,none,b,DNA-RNA-Luc
