,E12,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07
,F1,
,F2,
,F3,
,F4,
,F5,
,F6,
,F7,
,F8,
,F9,
,F10,
,F11,
,F12,
,G1,
,G2,
,G3,
,G4,
,G5,
,G6,
,G7,
,G8,
,G9,
,G10,
,G11,
,G12,
,H1,
,H2,
,H3,
,H4,
,H5,
,H6,
,H7,
,H8,
,H9,
,H10,
,H11,
,H12,


Notes for the assay run: Enter Notes
