,time,row_384,column_384,row_96,column_96,rfu_value
129,00:08:00,B,1,A,1,3.937
130,00:08:00,C,1,B,1,7.474
131,00:08:00,D,1,B,1,2.995
132,00:08:00,E,1,C,1,9.226
133,00:08:00,F,1,C,1,3.3510000000000004
134,00:08:00,G,1,D,1,12.613
135,00:08:00,H,1,D,1,2.5660000000000003
136,00:08:00,I,1,E,1,7.945
137,00:08:00,J,1,E,1,4.533
138,00:08:00,K,1,F,1,3.2039999999999997
139,00:08:00,L,1,F,1,3.0810000000000004
140,00:08:00,M,1,G,1,7.854
141,00:08:00,N,1,G,1,3.197
142,00:08:00,O,1,H,1,12.152999999999999
143,00:08:00,P,1,H,1,2.965
144,00:08:00,A,2,A,1,2.73
145,00:08:00,B,2,A,1,3.852
146,00:08:00,C,2,B,1,2.943
147,00:08:00,D,2,B,1,3.363
148,00:08:00,E,2,C,1,2.8989999999999996
149,00:08:00,F,2,C,1,3.642
150,00:08:00,G,2,D,1,2.7560000000000002
151,00:08:00,H,2,D,1,3.248
152,00:08:00,I,2,E,1,2.929
153,00:08:00,J,2,E,1,3.845
154,00:08:00,K,2,F,1,2.821
155,00:08:00,L,2,F,1,3.1839999999999997
156,00:08:00,M,2,G,1,2.8360000000000003
157,00:08:00,N,2,G,1,3.4539999999999997
158,00:08:00,O,2,H,1,2.863
159,00:08:00,P,2,H,1,3.51
160,00:10:00,A,1,A,1,10.173
161,00:10:00,B,1,A,1,3.9589999999999996
162,00:10:00,C,1,B,1,7.5089999999999995
163,00:10:00,D,1,B,1,3.1689999999999996
164,00:10:00,E,1,C,1,9.289
165,00:10:00,F,1,C,1,3.392
166,00:10:00,G,1,D,1,13.232999999999999
167,00:10:00,H,1,D,1,2.615
168,00:10:00,I,1,E,1,7.892
169,00:10:00,J,1,E,1,4.717
170,00:10:00,K,1,F,1,3.282
171,00:10:00,L,1,F,1,2.965
172,00:10:00,M,1,G,1,7.822
173,00:10:00,N,1,G,1,3.174
174,00:10:00,O,1,H,1,11.511
175,00:10:00,P,1,H,1,3.188
176,00:10:00,A,2,A,1,2.8110000000000004
177,00:10:00,B,2,A,1,3.844
178,00:10:00,C,2,B,1,2.8680000000000003
179,00:10:00,D,2,B,1,3.068
180,00:10:00,E,2,C,1,2.8680000000000003
181,00:10:00,F,2,C,1,3.22
182,00:10:00,G,2,D,1,2.685
183,00:10:00,H,2,D,1,3.366
184,00:10:00,I,2,E,1,2.803
185,00:10:00,J,2,E,1,4.031000000000001
186,00:10:00,K,2,F,1,2.839
187,00:10:00,L,2,F,1,3.32
188,00:10:00,M,2,G,1,2.66
189,00:10:00,N,2,G,1,3.5210000000000004
190,00:10:00,O,2,H,1,2.7760000000000002
191,00:10:00,P,2,H,1,3.302
192,00:12:00,A,1,A,1,10.219
193,00:12:00,B,1,A,1,4.063
194,00:12:00,C,1,B,1,7.574
195,00:12:00,D,1,B,1,3.153
196,00:12:00,E,1,C,1,9.043
197,00:12:00,F,1,C,1,3.3989999999999996
198,00:12:00,G,1,D,1,12.645999999999999
199,00:12:00,H,1,D,1,2.638
200,00:12:00,I,1,E,1,7.768
201,00:12:00,J,1,E,1,4.63
202,00:12:00,K,1,F,1,3.3489999999999998
203,00:12:00,L,1,F,1,3.072
204,00:12:00,M,1,G,1,7.898
205,00:12:00,N,1,G,1,3.1510000000000002
206,00:12:00,O,1,H,1,11.613
207,00:12:00,P,1,H,1,3.0210000000000004
208,00:12:00,A,2,A,1,2.74
209,00:12:00,B,2,A,1,4.06
210,00:12:00,C,2,B,1,2.891
211,00:12:00,D,2,B,1,3.214
212,00:12:00,E,2,C,1,2.734
213,00:12:00,F,2,C,1,3.472
214,00:12:00,G,2,D,1,2.718
215,00:12:00,H,2,D,1,3.287
216,00:12:00,I,2,E,1,2.714
217,00:12:00,J,2,E,1,4.238
218,00:12:00,K,2,F,1,2.963
219,00:12:00,L,2,F,1,3.4989999999999997
220,00:12:00,M,2,G,1,2.6260000000000003
221,00:12:00,N,2,G,1,3.315
222,00:12:00,O,2,H,1,2.707
223,00:12:00,P,2,H,1,3.543
224,00:14:00,A,1,A,1,10.232000000000001
225,00:14:00,B,1,A,1,4.1419999999999995
226,00:14:00,C,1,B,1,7.204
227,00:14:00,D,1,B,1,3.255
228,00:14:00,E,1,C,1,8.906
229,00:14:00,F,1,C,1,3.3
230,00:14:00,G,1,D,1,12.344000000000001
231,00:14:00,H,1,D,1,2.8310000000000004
232,00:14:00,I,1,E,1,7.952000000000001
233,00:14:00,J,1,E,1,4.999
234,00:14:00,K,1,F,1,3.221
235,00:14:00,L,1,F,1,3.08
236,00:14:00,M,1,G,1,7.705
237,00:14:00,N,1,G,1,3.2230000000000003
238,00:14:00,O,1,H,1,11.802999999999999
239,00:14:00,P,1,H,1,3.0269999999999997
240,00:14:00,A,2,A,1,2.846
241,00:14:00,B,2,A,1,3.9219999999999997
242,00:14:00,C,2,B,1,2.782
243,00:14:00,D,2,B,1,3.115
244,00:14:00,E,2,C,1,2.798
245,00:14:00,F,2,C,1,3.3739999999999997
246,00:14:00,G,2,D,1,2.8110000000000004
247,00:14:00,H,2,D,1,3.353
248,00:14:00,I,2,E,1,2.702
249,00:14:00,J,2,E,1,3.908
250,00:14:00,K,2,F,1,3.045
251,00:14:00,L,2,F,1,3.495
252,00:14:00,M,2,G,1,2.932
253,00:14:00,N,2,G,1,3.463
254,00:14:00,O,2,H,1,2.812
255,00:14:00,P,2,H,1,3.341
256,00:16:00,A,1,A,1,10.185
257,00:16:00,B,1,A,1,4.086
258,00:16:00,C,1,B,1,7.244
259,00:16:00,D,1,B,1,3.162
260,00:16:00,E,1,C,1,8.34
261,00:16:00,F,1,C,1,3.3289999999999997
262,00:16:00,G,1,D,1,12.22
263,00:16:00,H,1,D,1,2.702
264,00:16:00,I,1,E,1,7.707000000000001
265,00:16:00,J,1,E,1,5.155
266,00:16:00,K,1,F,1,3.09
267,00:16:00,L,1,F,1,3.043
268,00:16:00,M,1,G,1,7.752000000000001
269,00:16:00,N,1,G,1,3.305
270,00:16:00,O,1,H,1,11.544
271,00:16:00,P,1,H,1,2.989
272,00:16:00,A,2,A,1,2.6519999999999997
273,00:16:00,B,2,A,1,4.187
274,00:16:00,C,2,B,1,2.858
275,00:16:00,D,2,B,1,3.092
276,00:16:00,E,2,C,1,2.9210000000000003
277,00:16:00,F,2,C,1,3.245
278,00:16:00,G,2,D,1,2.883
279,00:16:00,H,2,D,1,3.4360000000000004
280,00:16:00,I,2,E,1,2.832
281,00:16:00,J,2,E,1,3.995
282,00:16:00,K,2,F,1,2.79
283,00:16:00,L,2,F,1,3.253
284,00:16:00,M,2,G,1,2.906
285,00:16:00,N,2,G,1,3.6319999999999997
286,00:16:00,O,2,H,1,2.8160000000000003
287,00:16:00,P,2,H,1,3.45
288,00:18:00,A,1,A,1,10.195
289,00:18:00,B,1,A,1,4.273
290,00:18:00,C,1,B,1,7.346
291,00:18:00,D,1,B,1,3.323
292,00:18:00,E,1,C,1,8.521
293,00:18:00,F,1,C,1,3.6189999999999998
294,00:18:00,G,1,D,1,12.442
295,00:18:00,H,1,D,1,2.74
296,00:18:00,I,1,E,1,7.654
297,00:18:00,J,1,E,1,4.946000000000001
298,00:18:00,K,1,F,1,3.301
299,00:18:00,L,1,F,1,3.199
300,00:18:00,M,1,G,1,7.388999999999999
301,00:18:00,N,1,G,1,3.012
302,00:18:00,O,1,H,1,11.204
303,00:18:00,P,1,H,1,3.017
304,00:18:00,A,2,A,1,2.738
305,00:18:00,B,2,A,1,3.9410000000000003
306,00:18:00,C,2,B,1,2.807
307,00:18:00,D,2,B,1,3.1710000000000003
308,00:18:00,E,2,C,1,2.7319999999999998
309,00:18:00,F,2,C,1,3.384
310,00:18:00,G,2,D,1,2.853
311,00:18:00,H,2,D,1,3.197
312,00:18:00,I,2,E,1,2.802
313,00:18:00,J,2,E,1,3.9530000000000003
314,00:18:00,K,2,F,1,2.6889999999999996
315,00:18:00,L,2,F,1,3.321
316,00:18:00,M,2,G,1,2.648
317,00:18:00,N,2,G,1,3.5010000000000003
318,00:18:00,O,2,H,1,2.91
319,00:18:00,P,2,H,1,3.306
320,00:20:00,A,1,A,1,9.737
321,00:20:00,B,1,A,1,4.362
322,00:20:00,C,1,B,1,6.937
323,00:20:00,D,1,B,1,3.194
324,00:20:00,E,1,C,1,8.837
325,00:20:00,F,1,C,1,3.27
326,00:20:00,G,1,D,1,12.107999999999999
327,00:20:00,H,1,D,1,2.7319999999999998
328,00:20:00,I,1,E,1,7.532
329,00:20:00,J,1,E,1,5.28
330,00:20:00,K,1,F,1,3.264
331,00:20:00,L,1,F,1,3.3930000000000002
332,00:20:00,M,1,G,1,7.7860000000000005
333,00:20:00,N,1,G,1,3.165
334,00:20:00,O,1,H,1,11.509
335,00:20:00,P,1,H,1,3.014
336,00:20:00,A,2,A,1,2.8760000000000003
337,00:20:00,B,2,A,1,4.043
338,00:20:00,C,2,B,1,2.786
339,00:20:00,D,2,B,1,2.951
340,00:20:00,E,2,C,1,2.7119999999999997
341,00:20:00,F,2,C,1,3.3280000000000003
342,00:20:00,G,2,D,1,2.556
343,00:20:00,H,2,D,1,3.19
344,00:20:00,I,2,E,1,2.705
345,00:20:00,J,2,E,1,4.127
346,00:20:00,K,2,F,1,2.8339999999999996
347,00:20:00,L,2,F,1,3.361
348,00:20:00,M,2,G,1,3.031
349,00:20:00,N,2,G,1,3.4760000000000004
350,00:20:00,O,2,H,1,2.8560000000000003
351,00:20:00,P,2,H,1,3.361
352,00:22:00,A,1,A,1,10.142000000000001
353,00:22:00,B,1,A,1,4.271
354,00:22:00,C,1,B,1,7.269
355,00:22:00,D,1,B,1,3.284
356,00:22:00,E,1,C,1,8.292
357,00:22:00,F,1,C,1,3.312
358,00:22:00,G,1,D,1,12.369000000000002
359,00:22:00,H,1,D,1,2.59
360,00:22:00,I,1,E,1,7.614
361,00:22:00,J,1,E,1,5.334
362,00:22:00,K,1,F,1,3.2230000000000003
363,00:22:00,L,1,F,1,3.221
364,00:22:00,M,1,G,1,7.832000000000001
365,00:22:00,N,1,G,1,3.147
366,00:22:00,O,1,H,1,11.005999999999998
367,00:22:00,P,1,H,1,3.179
368,00:22:00,A,2,A,1,2.765
369,00:22:00,B,2,A,1,3.9360000000000004
370,00:22:00,C,2,B,1,2.74
371,00:22:00,D,2,B,1,2.928
372,00:22:00,E,2,C,1,2.6710000000000003
373,00:22:00,F,2,C,1,3.34
374,00:22:00,G,2,D,1,2.735
